review_name,review_type,passenger_name,review_date,review_text,rating_value,review_classification
Chania,airport,George Papadakis,2018-09-09,"The security stuff are rude, unprofessional and slow. Lines are long and food stalls are much too expensive for this country. Too bad for a nice new airport.",6.0,
Chania,airport,M Cooper,2018-07-15,"Boarding was delayed by more than one hour. I approached the staff - including the terminal supervisor - to ask them to inform a very long line of families with very small children that the flight was delayed. Believe it or not, I was told by one of the check-in staff at the gate that the flight was not delayed! I asked her to look at the screen where it stated the departure time as 00.05 and pointed out that the time now was 00.40. She scoffed, the terminal supervisor turned her back on me and continued to chat to the check-in staff. Incredibly rude! Incredibly unaware that the airport might need to have passengers to survive and that there is something called customer service. I will definitely avoid anything to do with this airport in the future.",2.0,
Chania,airport,R Cooper,2018-07-06,I am sat in a light and airy air conditioned building drinking Cappicino Freddo. The queue for checking in was small but very organised and the whole building is welcoming. Arrival was just as good although a slight wait for baggage due to three aircraft coming in close together. This airport has come on a lot since last year and I recommend it. The indicator boards all seem to be working ok and the WiFi is good. What more can you want. Don’t blame the airport for things they don’t control.,10.0,
Chania,airport,T Lewis,2018-06-16,"Terrible! Our flight has been delayed for more than an hour, just as our arrival flight and the previous flights from this airport. On moments like this you depend on the information screens on the airport to be able to know when to board. The information screens provided the wrong information and so we had already missed our flight once we got to the gate! According to the staff it was our fault because we had to be in the gate while the screens told there was no boarding.",2.0,
Charlotte,airport,L Bayne,2025-03-24,"This was the nastiest public restrooms I have seen in years. Paint pealing off toilet seat, nasty floors, no seat covers and more. The area between B & C concourses was so sad. The choices of cuisine was absurd. Fast food, really?",1.0,
Charlotte,airport,52 reviewsMahmud Noormohamed,2024-11-02,"This is a large airport that is undergoing runway expansion which is very visible on takeoff and landing. For a mid-morning flight, the C concourse was very but not very crowded. Seating at the gates can be a premium; however, we had no difficulty finding seating. The connecting hall has all kinds of restaurants both fast food and sit down. Airport WiFi is easy to connect and fast. The bathrooms are impeccable. There is an attendant on duty who is constantly cleaning the bathrooms after every use. The attendant greets passengers saying welcome to the cleanest bathrooms in CLT. Kudos to Airport management.",8.0,
Charlotte,airport,Eric Jones,2024-10-23,The airport was a horrible experience. They are under construction so many areas are filthy. There is staff just lying around taking up space that should be used by waiting passengers. I had to tolerate employees making unnecessary noise while sitting around playing pokemon go. Others were arguing over their schedule's. Language used was very disrespectful.,2.0,
Charlotte,airport,R Dawson,2024-10-22,"This airport is a mess and your chances of having a positive experience is 20% gauging from social media posts. The worst TSA I’ve ever experienced, poor infrastructure and non-existent staff/volunteers to assist. J.D. Powers rates CLT as sub-average. In short, stay away if possible from this airport. First, the positive. My experience is with Sun County and Delta 3 times post-Covid. Customer Service Agents were friendly and helpful, both at check in and the gate. Sad to say it goes downhill really fast from there. I have had the good fortune to travel to many airports around the world. From the U.S., Asia, India, the South Pacific, Europe and many more. CLT provides the worst customer experience I have ever encountered. If you arrive or depart by a vehicle you will discover poor signage, woefully inadequate road infrastructure with numerous pinch points where you find yourself in the wrong lane. There has been construction at the terminal for sometime now. Again, signage is either inadequate or non-existent. Absent were any staff or volunteers to assist travelers directing them to where they needed to go. It’s clear from this first impression that governing body doesn’t prioritize a high quality customer experience. It’s NOT the construction, it’s a management, employee/staff problem. And then it gets even worse. You encounter the most rude, unprofessional, demeaning TSA and law enforcement employees I have ever come across. This assessment comes after 3 trips in/out of CLT recently. So, they just didn’t have a one-off bad day. This is a culture that’s reinforced through the hiring and training process. They need a top to bottom firing of personnel and start over. It’s an embarrassment for the fine people of Charlotte and passengers who use this airport regularly. You deserve way better. Once inside the terminal signage is at best marginal. Baggage claim is horrible. I’m not sure if airlines sub-contract this but regardless it’s terrible. Arriving mid-day recently we waited for 1hour after brakes set and chocks in on the plane before the bags started coming into the carousel! And then, god help you trying to find car rental check in. Poor signage and again zero staff or volunteers to guide you to where you want to go. We personally encountered people just like us wandering around to find it. Once we got to the car rental desk employees were helpful, friendly and accommodating. This airport is a broken mess and the overall airport culture, especially the TSA, don’t care and seem to relish in rude, demeaning and unprofessional behavior.  I see on social media that construction is blamed on poor customer satisfaction. Almost EVERY airport has construction! Absent here are adequate road infrastructure, signage, staff/ volunteer assistance that has proven successful in many airports. To top it off sub-standard TSA and law enforcement personnel.  Avoid until they get this embarrassing mess fixed.",1.0,
Charlotte,airport,D Herboth,2024-10-20,"Horrible airport. Never again. We had a 2-hour layover. We were on a flight from Europe and we just wanted to catch the next flight to get home. Passport control had two people working for TSA Pre-Check and mobile passport. We stood in line for an hour (give or take). When we finally were next to be called, they allowed another couple in ahead of us. No idea why. When we approached the CBP officer, he was incredibly rude to my husband. He's a permanent resident and instead of instructing him on how to use the machine to get his fingerprints taken, he berated him for not knowing what he was doing. Ok, the man is overworked and under paid, I get it. Up next, we arrived at the luggage carousels where no flights were listed on the boards. Finally, an announcement was made, but barely heard, as to which carousel had our luggage. There were suitcases everywhere and a dog was barking, left in the middle of the floor in an unattended crate. We managed to get 3 of 4 of our checked bags when the carousel stopped. It took maybe another 20 minutes to get someone there to fix the issue. Finally, with our luggage all together, we shoved all 4 suitcases under a rope with little to no hope that they'd arrive at our final destination. We darn near sprinted to security. My husband made it through with no problem and he proceeded to get through TSA. While I waited for security to clear me, a sudden problem with my last name sprang up. Charlotte was our 5th airport and all of a sudden, my maiden name comes up out of nowhere. I haven't used that last name in more than 20 years. It wasn't entered when we booked our flights, it's not on the boarding pass and that last name is no where in my passport. I had to go back to the ticket counter and wait behind 30 people (no complaints against the people working at that counter) to get my name corrected. I was furious! At this point, I was sure that I was going to miss the flight home but the woman at the counter informed me that they hadn't even started boarding yet. I went back to security, cleared that, went through TSA and had an expected issue with my diabetic medication, met up with my husband and we ran to the gate. But we didn't need to. After multiple gate changes and flight delays (the flight was over an hour late) and no place to sit, we finally boarded the last flight of our trip.... angry, exhausted and drenched in sweat. Never again. That airport needs to do better.",1.0,
Charlotte,airport,A Fuller,2024-10-18,"This is the most unpleasant experience I have ever had at an airport. Charlotte was our connection to and from Rome. Going was not so bad except the normal gate gate changed and crowds. But returning was unorganized and disturbing. We spent more than an hour in line for Customs clearance; then more than another hour line to get through security. We had to re-check our luggage in between flight's. We are TSA PreCheck, which did not help. Why were we required to go through Security again for a connection. Luckily, our flight was delayed because otherwise, we were close to the time for boarding. The employees we observed were loud and rude!",1.0,
Charlotte,airport,T Rose,2024-09-24,"This is a terrible airport! Disorganized, constant delays, rude employees, the food from the chains is disgusting and of course overpriced. The only positive, the bathrooms are usually clean. It amazes me that places like this are allowed to operate.",1.0,
Charlotte,airport,E Fane,2024-07-14,"Lots of good food and shops. Amazing love piano playing, and fun Wicked Weed food court. However the reason I’m writing is because this place is filthy! I don’t want to touch a surface! I know they’re under construction but that doesn’t account for counters and corners and floors that obviously haven’t been scrubbed in a long time. Gross! Embarrassing! The survey asks if I would recommend this airport, and my reply is mixed. First off, airport choice is pretty arbitrary as it just depends on where you’re going, and also some aspects are great. The cleanliness however is terrible.",6.0,
Charlotte,airport,E Keale,2024-07-14,"In spite of being a large facility, Charlotte was very crowded. Finding a place to sit at our gate was impossible. The restaurants are far apart from one another so if you need something near your gate, your choices are limited. The bathrooms are messy, with broken soap dispensers and stall latches. But really, crowd management between gates needs to be better.",3.0,
Charlotte,airport,Evan Bailey,2024-07-13,"The gate agents and customer service agents from American Airlines are pretty much the rudest and most unprofessional staff I have ever met. They have no manners and are extremely rude to people throughout the airport. This airport also I don't think has ever had a flight take off on time, so it's extremely inconvenient to be connecting through here, I will try my best to never come through here again, as well as never fly with American Airlines. Waste of my time and money.",1.0,
Chattanooga Metropolitan,airport,Kathryn Norris,2022-06-29,"This is a very nice airport. Pretty clean and very manageable. My only reason for posting a review is there was no functioning water fountain, neither for drinking or filling water bottles, in the concourse. Didn't work when we arrived, still didn't when we left six days later. Drumming up money for the concession stand? Had to buy water for the trip out. Bad look for an otherwise pleasant place.",8.0,
Chattanooga Metropolitan,airport,L Martin,2019-12-05,"Departing Chattanooga for ATL to make a connecting flight on Monday, Dec 1, 2019. Previous Delta flight (gate # 3) was detained close to the runway for 30 minutes because the ground crew was not available. So, that delay resulted in almost missing connecting flight in Atlanta to my final destination. Once again, I have experienced another delay and unnecessary anxiety trying to make a connecting flight due to planes not being able to approach the jetway or depart from a jetway on timely basis.",2.0,
Chattanooga Metropolitan,airport,John Pelham,2008-03-10,CHA is a compact but efficient airport serving a metropolitan market of about 500000 residents. In the past it has suffered from proximity to major airports in Nashville and Atlanta but today 7 airlines service Chattanooga with a rather rapidly growing number of destinations. The airport is very clean with free Wi-Fi throughout and parking and security is superior. Low fare airlines have joined the legacy carriers so there is quite a nice selection of flights and fares. Sure saves time and headaches of leaving from larger airports.,5.0,
Chattanooga Metropolitan,airport,Bill Peterson,2006-05-12,CHA has the misfortune of being too close to Atlanta. Over half of Chattanooga flyers drive to Atlanta (or Nashville or Birmingham) to fly. However CHA offers competitive fares and I would guess most flights now are regional jet. The airport itself is beautiful with a large copper dome as the facility's trademark (in honor of the city's railroad heritage). CHA is a modern state-of-the-art airport and is where I choose to fly out of even though I live in the northern Atlanta 'burbs.,0.0,
Chattanooga Metropolitan,airport,Corey Shreffler,2005-09-12,As a resident of Chattanooga I have used this airport on several occasions. With just 5 gates it seems to be a bit undersized for a city of 160000. However speaking from an architectural perspective it has more character than most airports I have flown through and is very clean besides. There is virtually no chance of getting lost owing to the small size and simple layout. The security checkpoint is neither intimidating nor cumbersome but the agents are thorough and will search your bags if needed. CHA recently added a daily direct flight to Dallas/Fort Worth and will soon follow up with direct service to Houston and Orlando. Other cities with direct service to and from CHA include: Atlanta Chicago Charlotte Washington (DC) Cincinnati and Memphis. CHA really is a connected airport and getting moreso all the time apparently.,0.0,
Chattanooga Metropolitan,airport,Corey Shreffler,2005-09-12,As a resident of Chattanooga I have used this airport on several occasions. With just 5 gates it seems to be a bit undersized for a city of 160000. However speaking from an architectural perspective it has more character than most airports I have flown through and is very clean besides. There is virtually no chance of getting lost owing to the small size and simple layout. The security checkpoint is neither intimidating nor cumbersome but the agents are thorough and will search your bags if needed. CHA recently added a daily direct flight to Dallas/Fort Worth and will soon follow up with direct service to Houston and Orlando. Other cities with direct service to and from CHA include: Atlanta Chicago Charlotte Washington (DC) Cincinnati and Memphis. CHA really is a connected airport and getting moreso all the time apparently.,0.0,
Chattanooga Metropolitan,airport,Jalaal Elasmar,2005-01-17,One of the easiest domestic airports to figure out. Just a couple of restaurants but each one has great selection of food. They've been getting better flights and it is transitioning to more of a transit type airport. Staff is scarce but ticket counters are fast to check-in and the security line is real quick(5 minutes at the most). I now start my journey to any destination from here.,0.0,
Chengdu,airport,8 reviewsShadi Alkasim,2022-08-04,"Because of the coronavirus, there are not many flights leaving the airport, and the airport was almost empty, in general, the airport was clean and quiet, customer service was good, there are not many shops for shopping, and Starbucks coffee was working",6.0,
Chengdu,airport,5 reviewsL Matthews,2018-06-24,"This review is for T1. Arrival is smooth and quick as there are only few passengers and many open immigration counters. There are counters for Chinese passport holders, foreign passport holders, APEC, and crew as with other airports. The signs and direction from arrival gate to the immigration, baggage, customs, and exit are all clear. A few steps from the immigration is the baggage carousel and then another few steps is the customs counters and then the exit. There are taxi bays outside the terminal building and a bust waiting area. I am not sure if the airport is connected by a train to the city proper as I did not use nor check it. On departure check-in counters a less crowded as it ws an early flight. There is a security check upon entering T1 and then another one after check-in and then a final and more detailed one after immigration. There was no long queue and so I made it quick and fast to the boarding area. Just at the back of the immigration is Gate 101 which is my boarding gate and opposite it is Starbucks. There are only few stores and restaurants. Seats are not a problem as there are many empty ones. The toilets are clean and well maintained. Directions and signs are clear and understandable. Visa and Mastecard are accepted. The terminal is old but spacious. The thermostat just needs to be adjusted as it is warm and it makes me feel uncomfortable. The wifi si not working as well. Overall, I enjoyed this airport as an airplane enthusiast as it gives me a good view for plane spotting while waiting to board.",9.0,
Chengdu,airport,J Ming,2018-01-06,"Terminal signs and directions are not that clear, we had to ask several people and then got the right desk to check in. The toilet was dirty. We had to wait for a really long time to get through the security check. It was very slow and we almost missed our flight.",2.0,
Chengdu,airport,9 reviewsGraeme Bray,2017-08-04,"Arrived at the airport via the High Speed Railway station beneath Terminal 2 after catching a train from Chongqing. I was needing to transfer to Terminal for my international flight. There was no signage to Terminal 1 from the station. Once inside Terminal 2, there was only a small sign above an exit door on the Level 1 for the Shuttle Service from Door 9 on Level 3 with no direction in how to find Door 9. It was raining heavily and to my disgust, the shuttle service was not under the shelter of the awning but 50 metres short with a 15 minute wait. The staff of the shuttle service even suggested going back downstairs to walk 1km under the raised roadway between terminals. When the shuttle arrived, it is just a mini-bus, with limited luggage capacity and high steps into it. Worst of all, the bus stops 100m short of Terminal 1, requiring a second dash in the rain. As for check-in, it was a standard affair. The line was long through immigration with just 3 desks open with another long line for the security check. Thankfully I was able to board the VIP bus with priority boarding with little hassle.",5.0,
Chengdu,airport,H Bartlett,2013-06-26,Arrived at Chengdu on domestic flight from Shenzhen. No problems getting to town on the bus. A dew days later I had to depart on a domestic flight to Jiuzhaigou. Beware there are two terminals both a distance from each other. I got off at the wrong terminal no sign of a transfer bus so I had walk. Not much fun in the rain.,5.0,
Chengdu,airport,Satish Sakrikar,2013-06-03,Chengdu Terminal 2 looked new and clean. Despite Air China advice to reach airport 3 hours in advance the check in counter opened only 1.5 hours before departure. Check in immigration and security were efficient and quick. The departures waiting area had nothing of interest even for Chinese travelers let alone foreign ones. There were several shops selling the same souvenirs at inflated prices. The shop girls were standing bored as no customers even entered the shops. There was one book shop selling only Chinese books and 2 restaurants serving standard bland and tasteless fare not the renowned Sichuan cuisine again at inflated prices. The waiting area for our flight was barricaded off and pax had to sit at some other gate. Absolutely nothing for international passengers and it seemed even for Chinese. Even Domestic termini are better.,1.0,
Chengdu,airport,Peter Thackray,2012-11-27,XIY-CTU-AUH. Arrived from Xi'an on domestic flight in Terminal 3 which was newly opened in Spring 2012. All very clean and tidy with clear signs in Mandarin and English. Quite a long walk to Baggage Reclaim for the furthest gates but not unreasonable. Toilets clean and plentiful with both squat and regular options. For International Departures there are 2 main dining options before Check-in either KFC or local Chinese food. There are a few stores selling various local foods and some souvenirs. Check-In pretty good and Passport Control and Security all pretty smooth. No requirement to remove belts or laptops for security scanning but do enforce the 100ml liquid rules from Europe. In the International Departures no dining opportunities but a couple of coffee-shop options along with the usual array of Duty Free shops. Most departures are from one of the 11 airbridges. Announcements made in both Chinese and English. Toilets are clean.,8.0,
Chengdu,airport,K Sumani,2012-04-20,KUL-CTU-KUL. The Shuanglin terminal is equipped with all the usual amenities. The toilets are clean the terminal is clean. The terminal also has signs in English/Chinese. Going through customs and immigration is a breeze. You can reach the city centre easily by bus or taxi however signs to the bus outside was not to clearly shown.,9.0,
Chengdu,airport,G Bray,2009-05-01,This is the major airport for southwest China. Flew into Chengdu from Shenzhen where it was quite a lengthy walk from the Terminal 2 gate to baggage claim. This was topped off with a further lengthy walk to the opposite end of the terminal for the taxi rank. Flying out a week later I had time to look at the airport more closely. Terminal 1 is old and definitely looking it's age. Terminal 2 was shiny and modern with three fingers that extend out. Plenty of interesting shops to keep myself amused inside the terminal and the lounges were adequately comfortable. The feeling was light and airy inside with a good view to the outside despite the extra glass screen separating arriving passengers from departing ones.,4.0,
Chengdu Tianfu,airport,8 reviewsShadi Alkasim,2025-02-04,"New airport and far from the city. The airport is new and big, but unfortunately, there are not many shops for shopping or eating, it is almost empty inside and outside. While travelling from it to Hong Kong I was treated badly by the passport officer. After passing the inspection and stamping my passport I found a very small Starbucks café inside the departures hall, and unfortunately the employee who works there treated me in a humiliating manner and refused to provide service to me. When I returned from my trip, the passport officer's treatment was friendly and respectful, and I did not face any problems.",5.0,
Chennai,airport,Senthil Nadarajah,2025-04-03,"For a thriving metropolitan city, the airport has many features far lower than standard features seen in many busy airports. Entrance security They lack language skills and many don't understand English. They don't understand the ticket's complexity. They are from military so you can't expect too much use of intellectual capacity to understand the time factors. I felt the guys ( twice I travelled in the last 2 weeks) spell each name silently than read the names. Why on the earth a civilian airport is managed by security services that are part of military Ticket counter No clear signs were posted in some places. Seems too many people are working yet very slow process. Immigration was flawless to me both times Security Screening The worst set up and poorly trained people manning the section. Screeners cannot identify the objects through X-ray machine and even after your spread out most stuffs out of the bag, they will search the bag for non existing objects. Literally you have to empty your bag into tray ( very likely you will loose something and high Chance someone may pick some items from your tray . ( Totally a third world county screening).. One lounge only for all airlines, average standards Boarding sequence non existent to small airplane like Indigo. Over all my ratings would be 2/10 ,",2.0,
Chennai,airport,J White,2025-02-07,"On arrival into the airport, there are notices for foreigners to complete the Arrival Card however there were no Arrival Cards arrival for me to complete. I proceeded to the main immigration desk on the advice from a staff member, that perhaps I didn't need one. Which seemed confusing as I am not a national of India and in previous experience, would need the card. On arrival at the desk - for my first time in India - the Immigration Officer slammed my passport down and pointed at a small office and yelled saying 'Go there fill in the card and then come back'. I went to the office and said Good Morning to the two seated inside the office and asked for the card and they practically threw it at me. If the airport was organised, they would of had the cards already presented for people on arrival. In addition, I was told I had to wait for another traveller to finish with the only one pen they had because there are no others. The other traveller and their family also agreed the system was poor. Baggage claim was as expected and no problems to report here besides the fact you get hassled to show you luggage tag to some random person checking the luggage tags. How does one person check all of the tags of people getting their luggage? The main concern is that this is being positioned as as International Airport and there is no WiFi available in the building unless you go the Airport Lounge which includes a cost. I was unable to purchase a sim-card on arrivals and there is no facility that provides one. The taxi system is ridiculous people yelling at you outside. Please book a car with your hotel and spend the money. If you really want a taxi, get an uber. As for the Departure's section, there are no tvs or screens, no comfortable seating, no coffee shops, no food outlets or anything to do for leisure or entertainment and people inside are not helpful. If you have a lay over do not go inside and waste your time. You can only enter the airport for the day you are travelling and they tell you once you go inside the airport you cannot leave. So if you don't have any stable internet connection you are stuck. The toilets were maintained but they are not clean. Staff pushing around a mop pushing the dust from one corner to another, and sitting on the floor under shelves. Why are staff sitting on the floor when there are travellers from all over the world coming here? There are hundreds of people walking around with lanyards on that aren't doing anything productive. Some staff members who are not wearing a uniform so not easily identifiable. I watched people sitting at the 'May I help you Desk' a tiny information desk on their phones having chats with their friends not engaged in providing a full service to people approaching the desk for help. Another member of the 'May I help you Desk' team was napping on the chair next to it? Sleeping at work? Post Immigration where they tell you there is WiFi there is none available. Do not believe them. The duty free was lack lustre, and the food outlets the same. I am appalled by the lack of customer care, service and support for International Travellers. The whole experience in this airport was abysmal. I would not recommend this airport and feel it is important to manage other people's expectations.",1.0,
Chennai,airport,1 reviewsD Marbayan,2024-12-11,"My recent experience at this airport was frustrating and highlighted a severe lack of planning and maintenance, particularly in the international arrivals section. Despite having numerous immigration counters, less than 30% were staffed. This resulted in long, unnecessary queues, with travelers left waiting while the majority of counters remained empty. The air conditioning system was either ineffective or nonexistent. Passengers, already fatigued from travel, were left sweating in the stifling heat while standing in line—a basic comfort that any international airport should provide. Bottleneck at Hand Baggage Screening: After clearing immigration, the ordeal continued. With only one hand baggage screening machine operational, travelers faced an additional 20-minute delay. This level of inefficiency is inexcusable. Customs officers use white chalk to mark bags for random checks, which is not only outdated but also damages the appearance and material of luggage. This approach is disrespectful to passengers who expect their belongings to be handled with care. Many trolleys were in poor condition, with misaligned wheels requiring significant effort to push. This made an already unpleasant experience even worse for those managing heavy luggage. Passengers must walk a considerable distance from the arrivals terminal to reach the taxi stand. While there are assistants available to help with baggage, many of them demand tips despite claiming the service is free—a practice that reflects poorly on the airport's management. To top it all off, the airport offers limited direct connections, especially to Europe, making it an unattractive hub for international travelers. Overall, the airport fails to meet even the basic standards expected of an international gateway. The inefficiencies, poor facilities, and lack of passenger care make this one of the worst arrival experiences I have had. Serious improvements are needed to elevate it to acceptable global standards.",1.0,
Chennai,airport,Mahmudul Alam,2024-08-24,"I had the unfortunate experience of transiting through Chennai International Airport, and it was one of the worst travel experiences I've ever had. From the moment I arrived, I felt harassed and mistreated. The tax officers were relentless, targeting everyone in a way that felt invasive and unnecessary. The immigration process was equally frustrating, with long delays and rude officials. The lack of basic amenities like WiFi and food options made the experience even worse. You're confined to a small, cramped area with no place to rest or sleep, making it feel more like a jail than an airport. For anyone considering a layover in Chennai, I strongly advise against it. The poor conditions and treatment are not worth the stress. Choose another airport if you can.",1.0,
Chennai,airport,S Anbalagan,2024-04-29,We had a very pleasant and satisfactory experience on April 28th Sunday departure. The facilities are international standards. The rest rooms were neat and clean. One Ms Renuka Devi staff in the rest room kept asking whether all okay and she made sure that i felt comfortable and happy. We appreciate all the staff and the officers whole heartedly.,10.0,
Chennai,airport,L Jacobs,2024-04-15,"I hope I never, ever have to step foot in Chennai Airport again! What a complete disaster of a place this is, utterly hateful and stressful experience from start to finish! Firstly to gain access to the terminal, you have to get past rude, officious security guards posted at each entrance. They demand to see your passport and a paper print out of the ticket, an electronic version or boarding pass will not do. After much pleading and intervention of Sri Lankan airline staff, they agreed to accept the electronic version of our ticket as proof. Twice we had to go through this as obviously we had no access to a printer being foreign tourists and nowhere did we get a warning this was a requirement until we checked in. What century are they living in when they refuse to accept an electronic ticket/boarding pass? Next the staff at security are possibly the rudest anywhere in the world. Horrid, miserable, angry woman pulled my carry-on aside for examination and just bellowed 'take, take it, take it, take it!' without even bothering to look at the contents. Absolutely disgusting attitude! Why pull it aside if she had no intention of even looking at it? It seemed like the only motivation was to pick a fight. Add to this.... Toilets are the filthiest I have ever seen with excrement all over seats, urine on floor etc. No Wi-Fi whatsoever, paid or otherwise as you need an Indian Mobile number to access it. Shops, poor as they are, are all unbelievably expensive and overpriced, twice as expensive as at Zurich Airport in Switzerland. Needless to say they were all empty of customers. The international terminal 2 departures, consists of vast areas of barren space with a few dirty looking seats dotted around, generally depressing and miserable looking. At arrivals, the border staff are as thick as mince. They kept looking at my expired visa from a previous visit 5 years ago, rather than the current one, even when I pointed it out to them. As such they claimed I didn't have a visa until a senior person intervened and 'found' the correct visa, the one I showed them multiple times. Once you leave the airport expect to be accosted by thousands of taxi drivers trying to scam you into paying £20 to the centre of Chennai. Best arrange a hotel pick up before leaving! We would have flown direct to Colombo if we had known how bad Chennai Airport was, horrible place and the staff are completely devoid of humanity. I feel lucky to have got through the place alive quite honestly, worst airport in the world!",1.0,
Chennai,airport,Parthi Srinivasan,2023-11-14,"The newly built international airport is dirty, the finish is poor, the cleaning staff are on their mobile phones or chatting, the toilets are dirty, the security is slow and the is manned by disinterested personnel. Overall it is probably the worst airport I have visited in the last 5 years. I hear there are plans to build another airport.",1.0,
Chennai,airport,Abhijit Banerjee,2023-06-18,"Came from DEL on domestic and departed to FRA from international terminal. Connectivity between terminals is a big pain area, specially if one has luggage to push around. The travellators don't allow for trolleys to go on them, walking all the way is the only option available. Further, international terminal is nothing but a mess and disarray. Gates are scattered far and in between. Too few food options and so called food court is full of pigeons fluttering around. Absolute mismanagement, small domestic terminals are better managed than this.",1.0,
Chennai,airport,P Marshall,2023-06-03,"The worst experience with transfer I ever had. Arrived to T4 from Sri Lanka expected to transit out with Lufthansa with unfortunate layover of 10h. I was left 3.5h sitting in corridor in front of security check with explanation that I have to wait LU staff that will not come earlier the in couple of hours to pass me through despite I had valid boarding pass for my next flight! Moreover in Business class nobody cared at all no information and they even taken my passport for whole this time. Once this nightmare was over I found that behind security its even worse, it looks like after some natural disaster, all shops closed halfway destroyed, terrible lounge with one toilet in sanitary condition that would not allow to enter, never ever would take any transit through this nightmare, god bless I did not travel with kids this time",1.0,
Chennai,airport,Aadithya Balu,2023-05-13,Very Poor Maintenance of toilets and Cleanliness. The airport didn't even deserve to a domestic arrival. Foreign nationals actually hesitate to step into restrooms or touch the walls. The Air conditioning is also so low and baggage receiving time is taking minimum of 1.5 hours. In such a case Tamilnadu can never promote tourism having so much of cultural spots like old temples and architecture. The toilets directions had not symbols if they are not able to read English they cannot go to the restrooms. The international standards are not maintained anywhere including the people communication skills.,1.0,
Chiang Mai,airport,Fatin Feisal,2025-01-16,"I am incredibly grateful for the staff at Chiang Mai airport! I left my phone in my grab - unable to get in touch with grab due to my phone being in my grab car and details being on the app on my phone so I immediately went to the staff in line. She took me to the tourist police by exit number 6 in the international departure hall. They took details such as where I got the grab from, my phone number, the car colour (i couldnt remember the license plate number!). In less than 10 minutes they were able to get in touch with the car driver and I got my phone in the next 5 minutes after that!!!! Thank you so much to the tourist police staff on shift at 10am on 16 Jan 2025. I can't remember the other staff's name that brought me to the tourist police, but i took a photo with her. I wish them all the best and am so grateful for their willingness to help.",10.0,
Chiang Mai,airport,Yu-Hsiu Chang,2023-01-25,The airport is clean and not large. Signposts are clear. Passengers can get around easily. Employees are friendly and helpful. Security check is efficient. The prices charged at food outlets are reasonable.,8.0,
Chiang Mai,airport,K Kemp,2020-12-01,Probably the most inefficient and waste of time and money with double security screening. Before entering the terminal you are required to screen both check-in and carry on luggage and backpacks. Taking out laptops/tables and mobile phones as if you are about to board the plane. Then after getting your boarding pass you have to go through another security screening exactly like the first one when entering the terminal. Don’t really understand the reason the need for the first security check if they have the exact same one before boarding.,2.0,
Chiang Mai,airport,Hannah Selb,2020-01-08,"Worst airport and employees ever! Not one person working here spoke to me. Just hand motions that I’m apparently supposed to understand. My friend and I were the only two people in line to check in, and noticed the service counter woman mix up our boarding passes and luggage tags. She informed us of the mix up, and when I told her that was ridiculous and to please fix the tags - she acted as though it was an inconvenience to do her job correctly. Thank goodness she didn’t have a full line of people behind us to screw their stuff up too! Not one person we interacted with at this airport was friendly, helpful, or competent. Avoid this airport at all costs if you can.",2.0,
Chiang Mai,airport,Sarah Hansen,2019-12-07,"Worst airport ever. Arrived for a 1.20pm flight to Hanoi. Have flown domestically out of Chiang Mai a dozen times. Assumed there would be a similar level of food outlets in international as domestic. There is nothing. You can buy 2 minute noodles and a soft drink. No restaurant, no fast food, no bar. Travelling with a hungry, cranky child.",3.0,
Chiang Mai,airport,Martina Kern,2019-06-30,"The most unprofessional, inadequate and arbitrary luggage check ever. We were shocked about the way we (and our belongings) were treated when we entered the airport for the first (and overall pointless) check-up. They were focused on batteries and power banks that they unpacked aggressively my whole luggage which I've put before neatly in my bag. I asked them to handle at least a bag with some glass bottles containing my medicine with care but I just got ignored. Then they scanned every bag and some single items they took out of my bag again. They just threw my belongings rudely in a tray. It took my partner and me quite a while to sort this mess out. Thankfully we weren't in a rush. As a criminologist, I'm aware of certain (none-EU) security standards but this action was completely inappropriate and a waste of time. Especially as I could have brought easily a bottle of nitroglycerin with me - no one would have known. Amateurs! Furthermore, food and drinks are even for an airport overpriced. They charged more for a coffee than in London - ridiculous!",1.0,
Chiang Mai,airport,F James,2019-02-26,"Chaotic, lack of facilities and no departure board all make for a less than rewarding experience. Incomprehensible announcements and general chaos. No soap in toilets. No ATM or decent food - avoid this airport if you can.",2.0,
Chiang Mai,airport,2 reviewsDavid Eliuk,2018-12-18,Left Chiang Mai for Bangkok. All bags are security screened prior to entering the airport which meant a bit of a line outside in the sun. I get the security behind it but it was a pain in the butt. There was a lot of space at the check in counter and security moved well. We had all of our water taken away at security but there is filtered water near the departure gates. There is not a lot of food options after security. A few coffee shops and news stands. Boarding area was not too big for the number of passengers going through the area.,6.0,
Chiang Mai,airport,2 reviewsRobert Johnson,2018-02-24,"Upon arrival in Chiang Mai, we had to take the bus to the terminal, which thankfully was a quick trip. Customs was fast and the baggage claim was easy. Even as a small airport, there were friendly and helpful employees. It was easy to get around, especially finding taxis. I would prefer Chiang Mai over Bangkok airport, and I will continue to go to this airport.",8.0,
