review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,under_token_limit
Hainan Airlines,airline,Doug Williams,2025-01-12,As per a previous review on checkin was advised that bags could only be sent as far as Haikou At that point I would have to enter China collect baggage then checkin for BKK flight And thats despite both flights being on a single ticket Upon arrival then had issues at passport control They wanted evidence of my nd flight The print out I had on me simply said SYD BKK And had no wifi access Eventually was allowed in The flights themselves were great Relatively modern planes with attentive flight attendants in business on the A and on the Western food options on the way over Very much Chinese on the way back For the price I paid it was a great option but hrs to BKK instead of hours might turn others off,9.0,Positive,Positive,Positive,Positive,Positive,True
Plovdiv,airport,5 reviewsKaloyan Bozhilov,2016-06-25,Plovdiv is a small domestic airport It doesnt have any lounges Checkin is okay Not many staff so the lines are long There are very few flights some days even no flights The little bar next to check in is good However the airport is nice,6.0,Neutral,Positive,Neutral,POSITIVE,Positive,True
Owen Roberts International,airport,G Ku,2020-02-14,Been coming to GCM for years Yes tourism has increased based on reports by almost over last years which is fantastic for this beautiful Island But the airport although complete remodelled is poor at best Aesthetically pleasing it is too small and very uncomfortable Why go half way for something inadequate from the start Fortunately the entire staff are awesome and eased the pain Suggest a change in schedule of when flights arrive may assist even by minutes Two recent issues I dealt with The runway pothole was a total screw up From accounts in paper it appeared that new asphalt from night before was destroyed by a jet blast Asphalt needs to cure Second and personally involved is that our plane needed to wait one hour after everyone was boarded for maintenance to return a log book This made our connection for our next flight impossible with all the inconveniences associated How can you allow this calamity to occur is still not sitting well with me If you expect tourism to continue to visit your beautiful Island you need to improve,6.0,Positive,Positive,Positive,Positive,Positive,True
Casablanca,airport,Tareq Abdulla,2019-11-02,I was down with flu and surprised when I checked in and cleared passport that the airport did not have any pharmacies or clinics inside the airport This is the first time in a long history of travel that an airport doesnt have these facilities Very disappointed,2.0,Negative,Negative,Neutral,POSITIVE,Positive,True
Cebu,airport,2 reviewsC Worbel,2020-03-18,I was impressed by the cleanliness and orderliness of this airport Even the porters and staff act professionally Big space check in counters not cramped You dont have the feeling that youll be harassed nor cheated Considering this airport on my future flights,10.0,Positive,Positive,Positive,Positive,Positive,True
Winnipeg,airport,3 reviewsBrian Huzel,2016-04-04,This is a good smaller airport to fly in and out of The terminal is new and it shows Also staff are friendly and helpful This terminal is also well located as it is actually on the outskirts of the city not outside of the city In addition it is served by local transit However there is one accessibility issue While the lanes for commercial providers are covered and wide there is only a lane uncovered pickup area on the arrivals level for private vehicles This results in congestion during heavier arrival times,9.0,Positive,Positive,Positive,Positive,Positive,True
Olympic Air,airline,Georgios Vrontos,2023-05-30,Both flights were on time friendly crew and there was an inflight service for this minutes flight Airplane was clean Due to short runway only passengers could board on departure from Kastellorizo,10.0,Positive,Positive,Positive,Positive,Positive,True
Malmo Aviation,airline,Toomas Käbin,2013-03-12,Flight TF Gothenburg Stockholm Bromma Attentive professional FAs comfortable seats papers for free good in flight magazine on time clean plane smooth boarding and disembarkation clear safety announcements good sound system Best of all a small meal for free with coffeeteasoda and a chocolate candy,10.0,Positive,Positive,Positive,Positive,Positive,True
Santiago De Chile,airport,10 reviewsB Albrecht,2023-09-13,Terminal International Departure Efficient passport control and security check within the terminal an incredible amount of dining and bar options for every budget Wonderful new terminal maybe with not many toilet facilities as only negative point,10.0,Positive,Positive,Neutral,POSITIVE,Positive,True
Malmo Aviation,airline,Paul Jacobsen,2007-05-30,Malm to Stockholm I rebooked on Malm Aviation due to SAS strike in Sweden What a sharp contrast to SAS Checkin was painless using the selfservice machines Flight was operated by an Avro RJ with comfortable seats and sufficient legroom Cabin crew was efficient and smiling But the nicest touch was the free snack on board tasty roast beef sandwich orange juice coffeetea I was rather impressed by the cabin service on this hourflight The only negative point is the free seating policy as usual it resulted in a freeforall at boarding Malm Aviation is a very nice niche airline and I would strongly recommend it,0.0,Positive,Positive,Positive,Positive,Positive,True
Montpellier,airport,6 reviewsThomas Lemoigne,2017-08-01,MontpellierMditerrane Airport is a tiny but nice airport Facilities are clean some computer charging desks are available reasonable amount of seats can be found at the gates Shopping and eating options are according to the size of the airport The airside area also features a lovely terrasse taking advantage of the sun drawbacks however The terrasse does not offer a direct view on the movement area and its the spot where all smokers endup Bagages delivery on arrival was a bit long especially for such a small airport Traffic right outside the terminal can be abot messy as the pickup dropoff zone seems to be on the street so cars are jammed Wifi connection procedure should be simplified and streamlined,7.0,Positive,Positive,Positive,Positive,Positive,True
Hat Yai,airport,J Gauthier,2012-01-09,Regional airport not that busy Efficient checkin Services pretty basic but everything works Newer TG Business Lounge very nice,8.0,Positive,Positive,Neutral,POSITIVE,Positive,True
Derry,airport,Paul Devine,2014-11-12,Great Airport used it for a Ryanair flight to Stansted Small highly efficient great bar restaurant and shops A breeze to get through am going to use again Wish they were all like this,10.0,Positive,Positive,Positive,Positive,Positive,True
Nouvelair,airline,S Pulev,2023-06-26,It was the smoothest landing ever and an enjoyable flight overall The crew was very polite and the departure and the arrival were on time in a minute,9.0,Positive,Positive,Positive,Positive,Positive,True
Myanmar National Airlines,airline,4 reviewsMin Htet,2017-12-08,Yangon to Mandalay Lounge photo and In flight meal photo are added We can access Lounge at Yangon International Airport for all Business Class traveler variety of Breakfast Lounge is located at the rd floor of Yangon International Airport Terminal for domestic In flight meal is great but simple because it is just a hour short flight,10.0,Positive,Positive,Positive,Positive,Positive,True
Haikou,airport,1 reviewsQiteng Lu,2018-12-25,The international terminal of Haikou Airport is a very spacious terminal I have ever seen The terminal is small and dedicated The staff of VIP room help me to carry the language when I arrived and welcome me before I check in and keep me company all the way to the lounge There is a beautiful tropical garden in the terminal The staff in the airport is professional and dedicated I want to thank them for treating me so well,10.0,Positive,Positive,Neutral,POSITIVE,Positive,True
Rome Fiumicino,airport,30 reviewsZiauddin Ahmed,2024-05-23,Leonardo da Vinci Fiumicino Airport is a huge welldesigned welldecorated airport with clean and huge facilities I waited there for hours as the checkin security check and immigration were completed early However I spent good time as the airport facilities made easy travelers to navigate and browse for shopping and restaurants Airport staffs were good They speak English well Only bad thing is that travelers have to walk long to get into the boarding bridges,7.0,Positive,Positive,Neutral,POSITIVE,Positive,True
Braganca,airport,25 reviewsAngelo Menezes,2019-05-08,What a lovely place The tiniest airport an aerodrome actually I have been to People are lovely they take care of you There is a bar free wifi if it doesnt work in some areas ask for the airlines it is kept clean The only thing is getting there taxi only as far as I know,8.0,Positive,Positive,Positive,Positive,Positive,True
Kent,airport,Mark McFerran,2005-02-04,Even though it is small this is one of my favourite airports Its a minute walk from the plane to the terminal baggage is normally on the belt as soon as you arrive in and the best part is the cafe not only is it cheap but they have excellent hot bacon rolls and the fresh cakes are excellent too If only public transport links were better though I have been told the National Express service to London will soon call at Kent International,0.0,Positive,Positive,Positive,Positive,Positive,True
Myanmar Airways,airline,Lawrence Cohen,2015-04-19,RGN to Mandalay Airfare considerably less than other airline Flight was on a new airbus Checkin while chaotic went well Lots of airport staff Everything was done manually with paper and counters Cabin crew well dressed and pleasant Flight was comfortable and on time,8.0,Positive,Positive,Positive,Positive,Positive,True
Buffalo,airport,2 reviewsTyler Patterson,2015-09-30,The Buffalo Niagara Airport was quite an experience It was easily accessible and was fantastic with the hotels right across the road The staff were okay We were flying early in the morning so they might have been tired but they seemed alright The airport was larger than I expected The parking was easy and cheap Overall it was a nice experience,6.0,Positive,Positive,Neutral,POSITIVE,Positive,True
St Petersburg,airport,W Ellis,2019-09-13,A quick efficient security check just inside the door then youre in a big lobby and go to a checkin counter which you must do at any rate for a flight out of Russia even if you printed a boarding pass online so dont bother There are plenty of shops and places to eat both before and after formal passport control and formal security each of which involved less than minutes queuing Quintessentially Russian the passport officer never smiled but he was efficient and in no way discourteous Restrooms are clean and wellmaintained I awaited boarding in a nice lounge but almost all the newspapers to read are in Russian which I cant read Ample seating area at gate My flight to Paris had boarding via a jetway,9.0,Neutral,Positive,Positive,POSITIVE,Positive,True
Beijing Capital Airlines,airline,Meiru Chen,2025-02-02,On one of my recent flights I had the pleasure of experiencing the exceptional service of a remarkable cabin crew Their service made me truly appreciate what it means to go above and beyond in offering warmth and professionalism This cabin crew was not just doing their jobthey were truly caring for every passenger making everyone feel like they were being treated with the utmost attention and respect From the moment we boarded the crew greeted each passenger with sincere smiles Whether they were guiding us to our seats or answering questions they were always patient and considerate making everyone feel at ease Despite the long flight they maintained a cheerful and relaxed attitude making the time pass much faster than expected Throughout the flight the crews service was even more impressive During meal service they paid close attention to each passengers needs and even proactively asked if anyone required additional assistance What truly stood out was the crews high level of professionalism As we prepared for landing they didnt rush to tidy up or prepare for descent Instead they walked around the cabin gently reminding passengers to check for any forgotten personal items ensuring nothing was left behind This cabin crew with their genuine smiles attentive service and professionalism made this flight truly exceptional Im grateful for this outstanding crew who made my journey both pleasant and reassuring,10.0,Positive,Positive,Neutral,POSITIVE,Positive,True
Surat Thani,airport,5 reviewsS Jackson,2017-09-22,We had quite a lot of time to kill in this airport and it didnt disappoint There was a restaurant right in the middle of the terminal that was delicious and decently priced Unfortunately the wifi was not working no matter how many times we tried but they had this nice area called the library we sat in that was pleasant and helped the time pass,9.0,Positive,Positive,Neutral,POSITIVE,Positive,True
Brussels Charleroi,airport,Milena Ślósarz,2024-06-20,I had my period during the departure and didnt have sanitary paper with me My departure was from Terminal and after entering it there was no place where I could get it It is important that such things as sanitarny paper or diaper for babies are available to buy on an airport It should be available in the toilet or in one of the shops I had to ask several women which were also waiting for a plane whether they have sanitary paper It was uncomfortable I found sanitary paper cause one of the women had it but I could be less fortunate,5.0,Positive,Positive,Positive,Positive,Positive,True
Luxair,airline,Richard Vines,2023-10-26,The flight took off and landed on time boarding was efficient and the crew were friendly I have no complaints I ignored an offered opportunity to upgrade to business class but did take up the chance to block off the next seat for which was great So often I have watched Luxair planes at London City and wondered how the flights would be Turns out I was impressed,8.0,Positive,Positive,Positive,Positive,Positive,True
Liege,airport,Rohnny Petitjean,2005-05-12,This is a small airport but the new passenger terminal is great Fast service helpful people and clean This is a good alternative of Brussels airport We like it and for sure if possible we will try again,0.0,Positive,Positive,Positive,Positive,Positive,True
Dresden,airport,40 reviewsH Richards,2022-02-11,A small but efficiently operating airport Arrival was smooth and fast even when there was an additional covid document check There are enough small shops and food and beverages available Transportation is best done by train which will cost only euro,8.0,Positive,Positive,Positive,Positive,Positive,True
AIRDO,airline,Anderson Crane,2025-01-22,My flight with Air Do was a great example of Japanese customer service Being an All Nippon codeshare flight I was connecting from another ANA flight that unfortunately ran late and my connection was already only minutes the tightest theoretical connection that ANA allows My flight to Fukuoka arrived at a remote stand and they already had a van with a concierge best I can describe it waiting with a sign for me They whisked me away and drove me right to the gate with just minutes to spare My bags also made the transfer as well with them having their own luggage cart drive them right to the plane As for the flight itself the plane itself wasnt in the best shape being an exANA that was at years old and definitely showing its age I was able to get the bulkhead seat and had the entire row to myself Im a tall guy and leg room was no issue Recline was great considering theyre a budget airline and they had the usual drink service with a choice of green tea coffee and apple juice Their inflight shop has some cool items too I got myself a little plushie of the airlines polar bear mascot One downside of this flight was that we arrived at a remote stand at the farthest end of Sapporo airport having to take a min bus ride to get to the terminal Other than that a good flight but excellent customer service,8.0,Positive,Positive,Positive,Positive,Positive,True
Okinawa Naha,airport,19 reviewsFrancis Wong,2019-04-27,It was years ago I used this airport and wow so much has changed The check in on nd level had moved to a much more spacious rd level It made the experience totally different in a positive way No longer does it feel cramped Staff are friendly and signage are very clear The only thing that still need improving is the variety of shops available air side and food options It is still pretty basic at this stage With more and more airlines flying to OKA they can be more ambitious and open up more shops and restaurants to cater for us,8.0,Positive,Positive,Positive,Positive,Positive,True
Murcia San Javier,airport,J Blanchard,2018-07-30,A wonderful little airport So impressed While it was busy at the peak of the holiday season everything moved quickly and efficiently The shops airside while small have a great selection of Spanish specialties like olive oil I hope the new airport that opens next year keeps up the same high standards,10.0,Positive,Positive,Positive,Positive,Positive,True
Wilson,airport,2 reviewsRichard McMahon,2017-01-22,Great airport for small aircraft Twin OtterCessna used primarily for safari transfers Courteous and friendly staffsecurity as well as satisfactory washrooms and a nice snack bar Wilson airport is a welcome change from the chaos of Jomo Kenyatta Note due to its small size there is no souvenir or duty free shopping,8.0,Positive,Positive,Positive,Positive,Positive,True
Savannah,airport,Richard Hodges,2012-10-10,Chicago OHare to Savannah and return October Have used Savannah HHI International for many years when flying to Hilton Head Island SC A really very pleasant little airport serving mostly Delta and United Express internal flights Friendly check in staff quick luggage retrieval and absolutely the best Car Rental desks just yards along the same floor from Luggage Retrieval with the cars park right outside the Terminal This is a relatively small International Airport but there is a pleasant courtyard with a couple of shops and eating choices with lots of tables and chairs and a great information desk Once through security there is a surprising range of nice eating choices BUT of course they may not necessarily be open for a late night departure Have used many USA Airports over the years but this and RenoSparks in Nevada is the gem would unhesitatingly recommend,10.0,Positive,Positive,Positive,Positive,Positive,True
Read more,airline,C Lewis,2025-02-20,We flew with Turkmenistan Airlines for flights one from Milan to Ashgabat hrs with a Boeing and another flight hrs from Ashgabat to Kuala Lampur with a Boeing Both flights were much better than expected after reading the reviews Both aircrafts looked modern and clean with very comfortable seats For the very affordable prices the airline offers the service is very good We got meals on both flights and unlimited coffee water or any other drinks The staff was really nice and you can even ask for a blanket if needed The only negative point is that you cant checkin online which leads to long queues at the desk but expect from that everything was fine We would definitely fly again with this airline they deserve more good reviews,8.0,Positive,Positive,Positive,Positive,Positive,True
LAN Colombia,airline,A Li,2011-06-25,Internal flights in Colombia BOGSMR CTGBOG were real value for money The planes were clean the service was good and the free Juan Valdez snack peanuts and some little cookie were delicious Excellent value for short flights,10.0,Positive,Positive,Positive,Positive,Positive,True
Comair,airline,31 reviewsDavid Ellis,2019-12-07,Cape Town to Johannesburg The SLOW lounge in the Cape Town domestic terminal is a maelstrom of activity around lunchtime but at least theres an impressive spread of food Boarding was the now usual queuing on the ramp and airbridge but passengers were sensibly allowed on at both ends of the plane Service was efficient although lacking BAs homegrown friendliness The Comair fourcourse meal was adequate but not up to the best that Club Europe offers A late departure was compensated for along the way and our bags were moreorless first off the carousel Overall a decent flight,7.0,Positive,Positive,Neutral,POSITIVE,Positive,True
TAR Aerolineas,airline,Miguel Salcedo-Gomez,2015-12-13,TAR Aerolineas is a new regional Mexican carrier which operates several routes in Mexico Flew a domestic route roundtrip and found the service to be topnotch Aircraft brand new and clean punctual departures and arrivals attentive ground and cabin personnel excellent value for money Would choose them again when my travel plans take me to Mexico,9.0,Positive,Positive,Positive,Positive,Positive,True
SkyWest Airlines,airline,Jared Sorensen,2024-03-19,The folks at Delta and Sky West were great They took great care of daughter and her room mate on their way home for spring break They made a special trip to get our bags at the Elko Airport,10.0,Positive,Positive,Positive,Positive,Positive,True
Hainan Airlines,airline,Marc L Coleman,2024-12-31,Return leg was an older model configured in Business about half full Actually the seating is better than the configuration as you have more feet room Food was really good especially the Salmon Cod and Prawn ceviche a true delight The bed was comfortable and the service attentive movie choice the same as going out days previous One criticism is that priority bags do not come out first I awaited mins for my bag to arrive and nearly missed my connection although arriving at and a departure on next flight at The second leg on older plane entertainment system not working at all Breakfast and service was good arrived on time and again no priority bags first This is one area they need to work on Hence Ground service only star,10.0,Positive,Positive,Positive,Positive,Positive,True
Sal,airport,Ken Chiu,2016-06-11,Sal is a great small airport which is easy to use lots of signs and decent food options Good taxi services and shuttle buses to hotels Clean and airy and bright Would recommend Aeroplanes park very close and many airlines fly to Sal which is useful Friendly staff,10.0,Positive,Positive,Positive,Positive,Positive,True
Skytrans Airlines,airline,Gregory Bell,2016-02-13,Brisbane to Toowoomba and I was amazed at the service provided by this small regional airline Skytrans Airlines Even though the flight in a small propjet was only minutes duration we were given bottles of water and packets of potato crisps Returning the next day service was equally as good Would recommend this airline,8.0,Neutral,Positive,Neutral,POSITIVE,Positive,True
Air Iceland Connect,airline,75 reviewsDavid Robson,2018-03-30,Egilsstadir to Reykjavk Check in was a breeze Waiting area very clean Boarding was very easy just showing ticket and photo ID It was a minute flight They served tea or coffee with a chocolate I really enjoyed the flight as I did not want to travel by road again I will fly them again,10.0,Positive,Positive,Positive,Positive,Positive,True
Montevideo,airport,Enrique Simeone,2013-01-10,Spacious clean well located well serviced bright naturally illuminated airport Large halls with folk articles shops and chemist money exchange bureau and wrapping baggage service A breeze Fine areas for check in and spotless lavatories Once checked in fast track to security and immigrations available Smiley faces all over the airport Excellent Duty free shop Very good VIP lounge,10.0,Positive,Positive,Positive,Positive,Positive,True
Chiang Rai,airport,Glenn Taylor-Biffen,2025-03-14,What a great little airport Friendly staff in all areas and in my opinion unique system to me anyway of scanning the hold luggage whilst youre with it before its loaded onto the aircraft Domestic departure lounge is small but plenty of seating available,10.0,Positive,Positive,Positive,Positive,Positive,True
Tirana,airport,52 reviewsN Manson,2019-01-23,Visited Tirana on and departed on Both the arrival and departure experiences were smooth There was a slight delay at passport control on arrival as the scanner was not working at the booth where we presented our passports This is a neat and bright medium sized airport There is a lot of seating at the departure gates There is a nice Business Lounge that we accessed through our Priority Pass card The staff are friendly and professional Check in was effortless There is no online check in for TIA so one has to check in at the counter WiFi is available however it appeared to be spotty We did not have to wait very long for our luggage to arrive in baggage claim There are no jet bridges at TIA All passengers are bussed to and from the terminal to the aircraft,7.0,Positive,Positive,Positive,Positive,Positive,True
Lao Skyway,airline,A Laine,2019-03-23,Pakse to Bangkok Great legspace even for longer people Im cm tall Friendly staff and snacks were served with drinks Ride was smooth plane clean and we were almost on time Would recommend and will fly again with Lao Airlines,10.0,Positive,Positive,Positive,Positive,Positive,True
Sligo,airport,David Conway,2006-02-10,Outstanding views when arriving in on a fair weather day Pass through Airport in little time due to size of airport Friendly staff and facilities need to step up with any increase in flightpassenger numbers Sligo City is only miles form the airport or Euro taxi Journey Area beside airport is popular for running golf surfing and sea sports with international surf competitions held regularly,0.0,Positive,Positive,Positive,Positive,Positive,True
Bahrain,airport,6 reviewsMohamed Alkowari,2022-11-24,The Airport was quiet and everything went really smooth The staff were professional and did not give me a hard time while checking in and during customsimmigration Toilets and lounge were clean and comfortable to use The wifi was also very reliable,9.0,Positive,Positive,Positive,Positive,Positive,True
Nis Constantine the Great,airport,D Alex,2019-01-17,Nice small low cost but very aged airport needs full reconstruction asap Everything looks like the s but not nice way The floor was dirty so they need to improve cleaning as well Restaurant was closed so there was nowhere to even get a coffee Staff were kind and helpful Will fly there again as FR and W operate nice cheap flights otherwise no chance will be back,5.0,Positive,Positive,Positive,Positive,Positive,True
Air Antilles,airline,T Kamenski,2019-03-08,My first experience with this regional airline on a short hop from PointaPietre to Melville Hall Very pleasant and relaxed flight nice staff and decent leg and hand luggage space Will be happy to fly with them at any time again,10.0,Positive,Positive,Neutral,POSITIVE,Positive,True
Shenzhen Airlines,airline,Ciaran Brooks,2020-01-16,London to Hanoi via Shenzhen Boarding was a little prolonged and we were called to the gate much earlier than needed on the London Shenzhen leg Both of my flights left slightly late The crew were friendly seat was comfortable and food was surprisingly good considering We had two full meals and drinks on the first leg and a snack box on the second The entertainment on the London Shenzhen leg had enough options to satisfy me though far fewer than other airlines The system was modern and worked well The Shenzhen Hanoi leg had no entertainment Crew announcements were hard to hear and very brief in English Transiting in Shenzhen was as chaotic as expected but took around an hour in total I had to follow signs to domestic transfers wait in a holding area to fill in some forms through immigration then headed upstairs to departures of my own volition My checked bag went all the way without having to collect in Shenzhen The flight was a bargain and I definitely would use again,8.0,Neutral,Positive,Positive,POSITIVE,Positive,True
Aegean Airlines,airline,Eleftherios Lampropoulos,2025-01-18,Amazing experience I want to thank you all of the flight attendants for being so friendly and helpful I am afraid of airplanes and they helped me calm down and relax Special thanks to Maria for being there whenever I need her The best flight attendant Her customer service was super She was there to help and make me feel comfortable,10.0,Positive,Positive,Positive,Positive,Positive,True
LAN Colombia,airline,S Donnelly,2010-02-06,BOGMZLBOG I took them from Bogota to Manizales when I was visiting Colombia in December The crew was fantastic airport staff was polite The planes were new comfortable and service was great Tickets were very reasonable but book them early through the website to take advantage of the promotional fares which could equal US round trip depending on where you are going and how early you book,9.0,Positive,Positive,Positive,Positive,Positive,True
Green Bay,airport,R Sanyal,2018-02-02,This is a small yet spacious airport with two terminal piers jutting out in a Y shape There were ample seating space plug points to charge your phones and also an enclosed section with desks and chairs to do any work on your computer Large glass windows afforded views of the runways and let sunlight stream in Bathrooms clean TSA security was thorough Check in counters are opened a couple of hours before a flight and I found the staff friendly Car rental booths are in the baggage conveyor belt section and long term parking is just outside the terminal as are the parking lots for rental cars minimal walking required Very easy and fast entry and exit intoout of terminal Driving directions to airport were clearly marked Only a couple of shopsstores for food and drinks A selection of Wisconsin beer was available in the restaurant but not my favorite Leinenkugel Overall a very pleasant airport,8.0,Positive,Positive,Positive,Positive,Positive,True
Air North Yukon's Airline,airline,Brent LaRoche,2023-08-30,Wonderful airline Both going to and coming back from Whitehorse I really enjoyed flying with them Flights were on time No trouble with checked baggage Staff were super friendly They even provided a complimentary sandwich and warm cookie on a flight that was just over two hours I have a high opinion of this airline and would gladly fly with them again Thank you Air North,10.0,Positive,Positive,Positive,Positive,Positive,True
China Southern Airlines,airline,S Lane,2024-10-13,Exceptional Service from Ground Crews I recently had an experience that despite starting off on the wrong foot turned into a testament to the incredible dedication of the airlines ground crew Unfortunately we mismanaged our time and ended up missing our flight It was a stressful situation for our family of four and we were worried about what would happen next However the ground crew went above and beyond to assist us They were understanding and reassuring immediately helping us to rebook our tickets What truly impressed us was their effort to ensure that we could sit together on our new flight The staff worked diligently and communicated openly throughout the process making a stressful situation much more manageable Thanks to the remarkable support from the team we were able to travel together without further issues I cant express enough gratitude for their exceptional service It truly made a difference in our travel experience Highly recommend this airline for their commitment to customer care,10.0,Positive,Positive,Neutral,POSITIVE,Positive,True
Aberdeen,airport,C Hurley,2022-05-27,The security staff at Aberdeen airport are not up to standard Many of them are aggressive and argumentative and their main aim is not to be friendly or courteous I have been fortunate enough to travel to many countries and I say without hesitation that the security staff at Aberdeen airport are either the most poorly trained that I have encountered or that they are paying no attention to the training they receive The management team needs to review the training of the security staff at Aberdeen airport urgently,2.0,Positive,Positive,Positive,Positive,Positive,True
Bremen,airport,T Andrews,2017-08-24,Bremen is a small and convenient airport and my experience proved enjoyable Arriving with Air France I disembarked in the main terminal Very short walk to the baggage claim I picked my suitcase within ten minutes Tram line frequently connects the airport with the city centre every min during peak hours min otherwise travel time min A oneway ticket costs however beware that the machines accept neither credit cards nor bank notes greater than Easy departure with no queue at baggage dropin I breezed through security Bremen uses the fullbody scanner which makes the screening process much faster Security staff efficient and friendly Bright departure lounge but there might not be enough seating facilities if all gates are used at the same time Only issue Not enough toilets facilities either landside well hidden at the very end of the building or airside one toilet block only,8.0,Positive,Positive,Positive,Positive,Positive,True
Monastir,airport,P Haworth,2011-06-14,I have used Monastir Airport now for years and whilst the queues at immigration can be slow at times I think the other facilities and friendly staff more than make up for this Transport links are excellent if you are an independent traveller,5.0,Positive,Positive,Positive,Positive,Positive,True
Trigana Air,airline,47 reviewsS Garner,2019-11-29,Jayapura to Tanahmerah Flight left and arrived on time Aircraft was clean and cool crew friendly and even a simple inflight meal of a box of tea and a cake was provided,8.0,Positive,Positive,Positive,Positive,Positive,True
Cascais,airport,25 reviewsAngelo Menezes,2019-05-04,A very nice small airport with all that is needed except a coffee shop if I remember correctly Access is easy and clear the terminal clean and there is free parking,8.0,Positive,Positive,Positive,Positive,Positive,True
Bergerac,airport,R Vines,2017-05-06,Its a small airport with the most basic of facilities but there were no delays in either direction I hope that means they have sorted out immigraton though it may be that my BA flight from London City arrived at a quiet time My only gripe is about one woman on security who was quite unfriendly when she told me I had to return to checkin because she didnt like the look of a vase I had in my carryon bag Otherwise the staff seemed quite friendly,6.0,Positive,Positive,Neutral,POSITIVE,Positive,True
Gulfport,airport,Mark Evans,2019-10-12,A totally stressfree experience as sampled on a return charter flight from the Tampa Bay area Just eight departure gates but ample seating and a friendly barcafe No TSA hassle either A good gateway to Biloxi the Mississippi Gulf Coast and even Mobile AL Close to I,8.0,Positive,Positive,Positive,Positive,Positive,True
Aerocaribbean,airline,Philip Jensen,2010-12-31,Havana Cayo Coco return A one hour flight with an old ATR turboprop Seats surprisingly comfortable and we were offered a free drink plus candy onboard Nothing special but we arrived on time,8.0,Positive,Positive,Positive,Positive,Positive,True
Belavia,airline,8 reviewsAlistair Baker,2020-06-08,Minsk to Gatwick The airport in Minsk looks like it has been renovated recently and it was modern and efficient Boarding was slightly delayed but we got to Gatwick on time The aeroplane was fairly comfortable and you get a bit more room in an Embraer which has a x seating configuration The food and beverages were quite good and the aeroplane had some cool branding featuring a tankbased computer game that was developed in Belarus Cabin crew were a little gruff and could have been warmer and more welcoming but overall its a decent product and good value for money,7.0,Positive,Positive,Neutral,POSITIVE,Positive,True
San Antonio,airport,Griffen Rhodes,2024-03-02,Ms Terri V who was the boarding agent for my flight provided phenomenal customer service when it was needed most When I realized that my lay over time from my connecting flight to my final destination was tight she was able to move me up four rows with no extra charge She was friendly patient and wanted to do what was right for the customer given my situation when many others may have not cared as much She is someone other boarding and TSA agents should emulate not just here in San Antonio but around other airports as well,10.0,Positive,Positive,Positive,Positive,Positive,True
Wroclaw,airport,Z Domagala,2015-05-20,I travelled all around the world I saw many regional airports WroclawBreslau was excellent Everything went quickly Staff were really helpful no queues Brilliant seats before departure No problem with luggage One minus no good access to the city transport You must take a taxi to drive to the center,10.0,Positive,Positive,Positive,Positive,Positive,True
Bangkok Airways,airline,1 reviewsStrother Purdy,2024-09-29,Bangkok Airways is a lovely boutique airline They are well run pleasant and efficient They go the extra mile Id fly again with them in a heartbeat Its a hr flight from Sukhothai to Bangkok Due to massive flooding the road to the airport was closed However the airfield was dry and the flight stayed on time How did we get there They sent a WD pickup truck to meet us on the other side of the Yom River at a temple where our driver could get us The drive through the flood waters was tricky but we made it as did a nearly full cabin of other passengers We were not charged for this service if there was a charge the place where we stayed may have picked it up The flight is about an hour Still they served a meal and a good one at that,10.0,Positive,Positive,Neutral,POSITIVE,Positive,True
FlySafair,airline,M Halbene,2024-05-20,On December st I had booked a flight for my dad and his brothers to Cape Town I joined them we were helped by Thabile Mchunu at Counter and she was absolutely amazing My elders had never taken a flight before and he kindness and friendliness was amazing and helpful to calm the nerves,8.0,Positive,Positive,Positive,Positive,Positive,True
Bandar Seri Begawan,airport,Mike Rowe,2019-01-15,A small but tidy airport adequate for short transits The securityxray procedures for transit can be time consuming if more than one flight arrives at once Expect an hour of queueing to get through the security If you have a short connection staff will call you out of the normal queue just in time for your flight For longer transits there is nothing to do in the airport and little food The only coffee shop airside was closed in December A transit visa is available on arrival for AU and costs BN Money exchange is near the immigration area and easy Meter taxis are supposed to be available but on my pm arrival none were available unmetered all charge BN for even the shortest trip On my return the next morning the hotel booked me a car for Overall a transit stop in a budget hotel adds AU to your trip Unfortunately the new schedule with Royal Brunei since Oct now require long stopovers and overnight transit in Brunei when connecting to SEA destinations and this now makes other more expensive airlines a more attractive option Dry flights and inconsistent alcohol rules may also influence travellers Immigration staff are slow poorly organized and lazy Visa stamps tend to take up a full passport page where they could use only a third like other countries This trip was minutes waiting at immigration Business Class lounge is quiet and comfortable for short stops Has shower facilities but nowhere to sleep Food is hit and miss depending on time of day and number of guests No alcohol in the lounge An airport to be tolerated rather than enjoyed SingaporeKuala LumperBangkok are all far better options,3.0,Positive,Positive,Positive,Positive,Positive,True
Edelweiss Air,airline,Martin Rybarik,2025-02-21,I flew in January with Edelweiss from Zurich to Cape Town with my friend Everything was excellent from the very beginning The crew was very nice and helpful answered all my questions accurately and professionally On the way from Cape Town we transferred to another flight in Zurich to Budapest The crew informed us about the ground gate the time of departure and all the necessary information needed for the transfer The food was fine the whole flight went quickly and I was very satisfied I will definitely choose this company for future flights The aircraft was clean tidy and everything met my expectations The toilets were also in great condition and clean The crew at the airport was very nice and helpful,10.0,Positive,Positive,Positive,Positive,Positive,True
