review_name,review_type,passenger_name,review_date,review_text,overall_sentiment,staff,facilities,cleanliness,transport,pricing,staff_sentiment,facilities_sentiment,cleanliness_sentiment,transport_sentiment,pricing_sentiment,efficiency,staff_checkin,facilities_wifi,airline_experience,efficiency_sentiment,staff_checkin_sentiment,facilities_wifi_sentiment,airline_experience_sentiment,comfort,customer_service,comfort_sentiment,customer_service_sentiment,staff_security,staff_security_sentiment
Humberside,airport,R Rouse,2011-07-06,Whilst small and basic its the perfect option for a frequent traveller No queues at check in or security Friendly staff even the security guys are nice No long walks to find your gate Arrive  mins before departure travel stress free without the crowds and connect to the world via Schiphol Baggage claim takes minutes Would recommend this airport over flying via Manchester any day unless you enjoy arriving  hrs early and shopping,positive,1.0,2.0,,,,1.0,0.5,,,,1.0,1.0,,,0.0,0.0,,,,,,,1.0,0.5
Pakistan Intl Airlines,airline,Syed Muhammad Sohaib Tariq,2020-10-05,Karachi to Gwadar Travelled with this airline after I had travelled on a short a domestic flight early September  Flight in general was smooth and scenic Ground staff were also pleasant and helpful I see some betterment in overall operations particularly in terms of punctuality,positive,1.0,,,,,1.0,,,,,1.0,2.0,,1.0,0.0,0.0,,0.0,,,,,,
Air Niugini,airline,17 reviewsGlenn Mcgee,2023-05-02,Flew Air Niugini because of the B very nice cabin in a xx configuration Took seat A bulkhead seat very comfortable with heaps of leg room Staff were amazing and very attentive food was OK entertainment was enough for this flight of approx  hrs,positive,1.0,1.0,,,,1.5,1.0,,,,,,,3.0,,,,1.0,1.0,,0.5,,,
Corfu,airport,30 reviewsAndre Souza,2023-09-04,As most of people here state the airport is brand new and clean but they schedule most of flights at the same time in other words the arrival hall becomes a nightmare We had to wait airborne for some  minutes before we were allowed to land due lack of ramp space The airport is well connected with buses to town On departure everything was pretty much smooth but they let you wait outside waiting on the heat During peak summer season I would avoid Corfu if I were you,positive,,1.0,1.0,1.0,,,0.0,0.5,0.0,,3.0,1.0,,1.0,0.0,0.0,,0.0,1.0,,0.0,,,
Bloemfontein,airport,Abraham Faure,2011-01-11,The improvements I mentioned in  were completed on schedule and have given this airport a new and modern feel Unfortunately the upper level is no longer a viewing deck area However a new restaurant with a view of the airfield was installed on the ground floor Facilities are top class considering the size of the airport A brand new baggage retrieval area was added to the airport The layout of the airport works well Staff are still just as friendly,positive,1.0,2.0,,,,0.5,0.0,,,,,,,,,,,,1.0,,0.0,,,
Air Bagan,airline,Rob Boyce,2009-12-16,Yangon to Lashio in November  ATR  plane Allocated seating and good snack served with excellent customer service Would fly with them again any time,positive,,2.0,,,,,3.0,,,,1.0,1.0,,1.0,0.0,1.5,,0.0,1.0,1.0,1.5,0.0,,
Gothenburg-landvetter,airport,W Ellis,2018-12-15,Excellent small airport  clean spacious good restaurant  airline lounges collectively available to a great many airlines Arrival was to jetway  Departure was by bus to plane from gate E the gates  uses buses to go to aircraft The departure flight needed deicing since the aircraft was not parked at a gate it could be deiced in place before taxiing Frequent reliable bus service tofrom city Security personnel on departure efficient and courteous Time in security line   minutes,positive,1.0,3.0,1.0,2.0,,0.0,2.0,2.0,0.0,,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,1.0,0.0
Taipei,airport,1 reviewsA Marton,2024-04-13,This airport is very nice clean and efficient The staff at the airport are also very kind and welcoming I remember I was a little late to my flight and only had around half an hour to the flight from the checkin area They really got me in and out very fast and I had around  minutes to spare Very thankful for that,positive,1.0,1.0,1.0,,,1.0,0.0,1.0,,,2.0,,,1.0,1.0,,,0.0,,,,,,
Tontouta,airport,S Lorang Grimaldi,2013-03-27,I passed through this airport in July  They had done a lot of improvements since the first time I flew through in  and I know that its not totally finished now The price of food and beverages is pretty expensive The airport looks good and clean The staff are professional,positive,1.0,2.0,1.0,,2.0,1.0,0.0,1.0,,1.0,1.0,,,,0.0,,,,,,,,,
Hamad  Doha,airport,Mohamed Abbas,2025-02-19,I came from Bangkok to Doha and transited for  hrs and then to my homeland Cairo I was frustrated to stay that long transit time but once i stayed there I enjoyed it so much The internet coverage and speed is awesome Perfect atmosphere perfect cleaning perfect toilets Unforgettable experience Thanks to each and everyone who participated at this huge well maintained entity,positive,,1.0,1.0,1.0,,,0.0,0.0,0.0,,2.0,,2.0,,2.0,,4.0,,1.0,,0.0,,,
Dubai,airport,40 reviewsH Meijer,2025-04-01,A huge airport with multiple terminals and layers thereby distances are big Large lifts and automated people movers do help a lot Border control was fast and efficient they hand out a sim card for free on arrival Security was efficiently organized too Staff is mostly friendly and helpful Transport to town can be by metro busses or taxi It easily takes  hour or more,positive,1.0,1.0,,5.0,,1.0,0.0,,1.5,,2.0,1.0,,,0.0,0.0,,,,,,,2.0,0.0
Darwin Airline,airline,Florian Wissmann,2016-02-08,Zurich to Geneva return with Darwin Airline Booking and checkin was smooth online checkin was not available Boarding was quick maybe due to light load factors on both segments Both flights were on time arrival even early Very nice cabin crew comfortable seats with huge seat pitch s style on the Saab  I can recommend them at least for flights from and to Geneva I am aware that Darwin Airline has some punctuality issues But that never happened to me Great value for money,positive,1.0,,,,2.0,1.0,,,,0.0,4.0,1.0,,5.0,0.5,0.0,,2.0,1.0,,1.0,,1.0,0.0
Westchester County,airport,Henry Osserman,2006-03-09,Great restaurant upstairs that serves main course meals and happy to work in your time frame for your flight Modern building and brilliant to depart and arrive from if you live anywhere nearby Just make sure you check the kind of aircraft being used for your flight If you do NOT want to be on a small regional or propeller plane your choices are limited Nothing better than arriving at HPN and getting home locally in under  minutes,positive,,1.0,,,,,0.0,,,,1.0,,,1.0,0.5,,,0.5,1.0,,0.0,,,
Gothenburg City,airport,James Williamson,2010-10-30,Have used this airport twice in the last year and found it very smooth From plane arriving at terminal only ten minutes to clear border control collect bags and exit airport Bus to Gothenburg outside terminal to meet each flight and in to city in about  minutes  quicker than from the main Gothenburg airport Adequate facilities in airport and an outside area airside for smokers to sit in the sun with a drink,neutral,,2.0,,1.0,,,0.0,,0.0,,1.0,,,1.0,0.0,,,0.0,,,,,1.0,0.0
Cairo,airport,N Kalinentov,2024-02-26,One of the best African airports that i have ever been to I had worries at first before going through terminal  but to my surprise the whole experience was stressfree and enjoyable The airport atmosphere was very pleasant the checkin was quick and courteous the duty free shops had some good and reasonably priced items and there were also some decent looking food outlets the washrooms are well maintained and staff were friendly despite their limited proficiency of English language,positive,1.0,4.0,,,1.0,0.5,0.0,,,0.0,1.0,,,,0.5,,,,,,,,,
Canadian North,airline,Martin Svatoň,2019-03-10,Family trip from Montral to Edmonton Boeing  Canadian North is a nice airline Food great No inflight Entertainment Beverages and Cabin Service nice It was a calm nonturbulent flight,positive,,2.0,,,,,0.5,,,,1.0,1.0,,1.0,0.0,0.0,,0.5,,,,,,
Poznan,airport,P Kowalski,2014-04-22,We arrived from Rome with Ryanair bussed quickly to the terminal which is new bright and clean Luggage arrived almost in a blink of an eye Easy navigation to the exit with a stop in a clean toilet several ATMs very convenient  mins from the moment we landed to the car pick up Highly recommended airport nice experience,positive,,2.0,1.0,2.0,,,1.0,0.5,0.5,,1.0,,,,0.0,,,,1.0,,0.5,,,
Guayaquil,airport,Ian Flynn,2011-04-21,Friendly of the staff a new huge mall had been opening Mall del Soll This is the modern and fully functional airport with the biggest mall of the country and four hotels between    stars,positive,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,
Acapulco,airport,Pieter Boone,2022-06-06,This newish airport is compact clean spacious bright and well designed I arrived from Dallas Plane docked at a jet bridge Quick and short walk to fast and friendly immigration followed by customs less than  minutes plane door to curb Well managed  safe taxi service with no lines On the return a similar smooth experience The airside offers a nice choice of shops restaurant and lounges Certainly the small scale makes this airport a joy to use for limited international travel Nice friendly staff everywhere,positive,1.0,3.0,1.0,1.0,,1.0,0.5,0.5,0.0,,3.0,1.0,1.0,,1.0,0.0,0.0,,1.0,,0.0,,,
LIAT,airline,H Wachtel,2018-08-27,Piarco to Grenada A nofrills airline though efficient Staff at check in at arrivaldeparture were polite very helpful and efficient I experienced difficulty in accessing and using the online check in service though this proved to be no obstacle at the check in desk The aircraft while obviously wellused and aging somewhat allowed reasonable legroom Im  and was comfortable enough to doze through the flight,positive,1.0,,,,,0.5,,,,,2.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,,0.5,,,
Aircalin,airline,Andrew Eckel,2023-05-17,Fantastic flight Despite a delay departing Narita due to weather I really enjoyed my flight on Air Calin The crew were fantastic  very friendly and helpful Excellent onboard service great food a very comfortable seat and the cabin was clean I would fly them again,positive,1.0,1.0,1.0,,,3.0,2.5,1.0,,,1.0,1.0,,4.0,1.0,0.0,,5.0,1.0,,2.0,,,
CSA Czech Airlines,airline,Pavel Němeček,2020-02-04,Surprisingly smooth flight on board Czech Airlines checkin was smooth and flight departed on time from Paris and as I had Plus fare they did not bother me about my cabin bag and backpack during boarding On board offer was OK and prices were low  the beer which I ordered was cold which is perfect They also offered a water after the paid service so for the price I paid I was more than happy Flight arrived  minutes early only downside of the trip was the long wait for the bags in Prague,positive,,,,,1.0,,,,,0.5,4.0,1.0,,2.0,0.0,0.0,,0.0,,,,,1.0,0.0
Warsaw-Radom,airport,T Wójcik,2025-02-21,A very pleasant airport Modern spacious very quiet  the building has good acoustics to dampen internal and external noise Tasty food free drinking water  you need to bring your own bottle Also interesting in the general area of the terminal you can spend time in the Flyport  an interesting educational area about aerospace Efficient service smiling and helpful staff All in all highly recommended,positive,1.0,4.0,,,,0.5,0.0,,,,3.0,1.0,,,0.5,0.0,,,3.0,,1.0,,,
Estonian Air,airline,C Ten,2013-07-09,TallinnAmsterdam is a short flight but crew were nice helpful and were able to understand at least  languages they helped my Dutch Grandmother who speaks no English Amenities not normally provided but because flight was near empty they gave out snacks plus complementary tea and coffee They also allowed us to sit in vacant seats which was nice In general a nice trip and much more than was expected for basically a regional airline,positive,1.0,1.0,,,,1.0,0.0,,,,1.0,2.0,,3.0,0.0,0.0,,2.0,,,,,,
Malmo Aviation,airline,Toomas Käbin,2013-03-12,Flight TF Gothenburg  Stockholm Bromma Attentive professional FAs comfortable seats papers for free good in flight magazine on time clean plane smooth boarding and disembarkation clear safety announcements good sound system Best of all a small meal for free with coffeeteasoda and a chocolate candy,positive,,,1.0,,,,,1.0,,,2.0,,,4.0,2.0,,,1.0,1.0,,1.0,,2.0,3.0
Eastern Airlines,airline,Ann Allen,2024-02-15,I had a wonderful flight experience with Eastern Airlines Aircraft was clean well maintained and most importantly comfortable and on time The staff was well trained and very friendly  professional We need an alternative passenger airline I think everyone agrees with that Lets think of Eastern Airlines for our travel needs when they begin destination and set route service,positive,1.0,,1.0,1.0,,1.0,,1.0,0.0,,2.0,1.0,,2.0,0.5,0.0,,1.5,1.0,,1.0,,,
Ottawa,airport,R Rivera,2014-03-05,We  adults  kids came here about a year ago YOWPUJ nothing bad but nothing good Very clean and a lot of Sunwing Workers are nice and there is a great viewing area for kids But the downside is long waiting times for everything Otherwise it was pretty good and we will be using it again on Mar  for a flight to London UK then Warsaw Poland and back Will review it again then,positive,1.0,1.0,1.0,,,0.0,0.5,0.5,,,2.0,1.0,,1.0,0.0,0.0,,0.0,,,,,,
FlyGabon,airline,6 reviewsMichael Powell,2025-02-18,Apart from the usual lateness which one comes to expect from some regional airlines this was an excellent flight The aircraft was practically brand new and the cabin crew were professional Between booking and the actual flights it had changed its name from Afrijet to FlyGabon,positive,1.0,,,,,0.0,,,,,1.0,1.0,,2.0,0.0,0.0,,1.0,,,,,,
Air Koryo,airline,25 reviewsAlain Kupferman,2019-05-19,Beijing to Pyongyang Comparing an intraEuropean flight of  hours and this flight practically no differences clean aircraft nice stewardesses punctual simple food good and attentive service a normal standard,positive,,1.0,1.0,,,,1.5,1.5,,,,,,1.0,,,,0.0,,,,,,
Binter Canarias,airline,4 reviewsDaniel Souwer,2016-05-14,Lanzarote to Lisbon via Gran Canaria with Binter Canarias Great airline First flight with an ATR later a CRJ to Lisbon Checkin easy and smooth Connection LPA easy Both flights great staff Nice smile Service on the first flight water and a cookie second flight a chooice of a snackbox sweet  tapas  mix We had the tapas served with canarian red wine water and later a coffee Second glass of wine served Great FA nice plane as seated  and uneventfull flight Would fly them anytime,positive,1.0,1.0,,1.0,,0.5,0.0,,0.5,,3.0,1.0,1.0,2.0,0.5,0.0,0.5,0.0,,,,,,
Queenstown,airport,M Mathew,2020-01-24,There is a need for some chairs and a table to sit and reorganise after the security check This is especially important for people with knee  other implants requiring putting on the shoes Cannot do this in standing position I kept the bag on the only one table and was putting on the shoes in standing position One security lady officer showed her displeasure and asked me to remove the bag from the table Not very helpful,positive,,1.0,,,,,0.0,,,,1.0,1.0,,,0.0,0.0,,,1.0,,0.0,,2.0,0.0
Air Transat,airline,Michael Bryant,2024-11-04,Both legs of my flight were much better than expected The aircraft was clean and fresh The cabin crew were pleasant and efficient Check in was a breeze on both legs Flights departed and arrived as scheduled The seat was just fine for a  hour flight I am a normalsized person I would certainly fly with them again given the overall experience,positive,1.0,,1.0,,,1.0,,1.0,,,1.0,,,3.0,0.5,,,1.0,,,,,,
Manchester,airport,Janette Grundy,2024-12-14,I recently flew out of Manchester Terminal  A great experience from leaving the car at the pre booked car park No queues at bag drop off or security even though I had bought a fast track pass The terminal is clean bright and well appointed Within  minutes of arrival I was eating breakfast in San Carlo My return trip was as efficient within one hour of landing I had collected my car and was at home Terminal  is a revelation after the dire experiences of Terminal  Well done from me,positive,,1.0,1.0,1.0,,,0.0,0.5,0.0,,3.0,1.0,,1.0,0.5,0.0,,0.0,,,,,1.0,0.0
Kaohsiung,airport,B Blanchard,2010-07-27,I have used this airport a lot over the past two years and find it amazingly efficient and the staff friendly from checkin to immigration and security Its hardly ever busy and normally you can get from the plane to the MRT station within about  minutes even when arriving on a packed A from HKG Sure the shopping and food options are not great but KHH is so close to downtown on the wonderful new MRT that this is not really an issue All KHH needs now are more international flights,positive,1.0,2.0,,1.0,,0.5,0.0,,0.0,,1.0,,,1.0,0.5,,,0.0,,,,,1.0,0.5
Jetstar Pacific,airline,Anders Pedersen,2020-01-04,Hong Kong to Hanoi Regional flight Hong Kong toHanoi  January  on an A aircraft Ticket included free services and luggage Hot meal given was OK Flight full on time Nice clean aircraft Seats were good but space to front seat was horrible and extremely tiny small de facto painful to knees CheckIn in Hong Kong was quick and easy though my handluggage was double the limit Checked in luggage arrived smoothly checked by customs in Hong Kong who had left a note inside the bag Airbridge provided at both ends,negative,,1.0,1.0,,,,0.5,1.5,,,3.0,,,3.0,1.5,,,-0.5,1.0,,0.5,,,
Alice Springs,airport,Alastair Finch,2014-11-12,Beautiful new terminal with excellent check in security and facilities  very impressed,positive,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0
Linz,airport,James Maglo,2004-11-25,Linz is indeed a very small airport however it serves its purpose Facilities are limited and flying in at pm I found the few shops were almost all shut The hourly bus is excellent value for money at EUR compared to the  I paid in London approx EUR and only takes  minutes non stop to the city centre Beware there is only ONE medium sized duty free shop after passport control,positive,,1.0,,1.0,2.0,,0.0,,1.0,1.0,,,,,,,,,,,,,2.0,0.0
Guangzhou,airport,M Gong,2020-04-05,This airport is great It has all the necessities that an airport should have I dont get how it is placed  in the world It should be a top  airport All the staff are very helpful and friendly,positive,1.0,,,,,1.0,,,,,,1.0,,,,0.0,,,,,,,,
Coimbatore,airport,Sharon Wilson,2006-04-27,Contrary to what I had expected to find at a small domestic airport the terminal was beautifully clean well laid out with the benefit of some shops friendly staff who helped us through the security and check in process Ladies toilets both Indian and Western style were acceptably clean AC was okay if you were standing under it I would have no hesitation in travelling through this airport again on future visits to India Well done to those who maintain the Airport  keep up the good work,positive,1.0,3.0,1.0,,,0.5,0.5,0.5,,,1.0,1.0,,,0.0,0.0,,,1.0,,0.0,,1.0,0.5
Montevideo,airport,Enrique Simeone,2013-07-15,Brilliant Airport  new clean clear spacious Shame so few airlines do fly into MVD,positive,,,1.0,,,,,1.0,,,1.0,1.0,,,0.0,0.0,,,,,,,,
Caribbean Airlines,airline,Radha Banjoo,2023-05-13,I traveled with Caribbean airlines flying out of Toronto Canada into Trinidad and Tobago I havent flown with this airline in about twenty years I must say I was totally happy with the service they provided Staff was very welcoming The pilot was amazing with the way he took of and landed  I was very hesitant about flying with them because of what negative reviews and experiences I heard Thanks for making my trip a great one to the team and staff at Caribbean airlines,positive,2.0,,,1.0,,1.5,,,0.0,,2.0,1.0,,1.0,0.0,0.0,,1.0,,,,,,
Turkish Airlines,airline,123 reviewsMichael Schade,2025-04-06,Checkin was very slow with just three counters open for the full flight Boarding was unorganized and chaotic with just two gate agents being overwhelmed controlling the crowd There were no boarding groups and at the end they gave up and it was free for all As a result the flight took off  minutes late Seats on the A were comfortable with a responsible seat pitch Service was good with ok food,negative,,2.0,,,,,-0.5,,,,2.0,2.0,,4.0,-1.5,0.0,,-1.0,1.0,,0.5,,2.0,-1.0
Luleå,airport,Claudio Buzzi,2016-08-22,Small but good airport I visited it two weeks ago and I found it to be clean Its true that there not many people  principally fligths of SAS and Norwegian  but I liked it especially the after control zone where two barrestaurants The checkin zone is clean and well organized with an active information point Positive general impression from this airport,positive,,2.0,1.0,,,,0.0,0.5,,,,,,,,,,,1.0,,0.0,,1.0,0.0
Orient Thai Airlines,airline,David Ruiz,2016-02-08,Hong Kong to Bangkok and my first time with Orient Thai Airlines and I am very satisfied with both the price and service Orient Thai was cheaper than Air Asia and the Boeing  was very spacious with comfortable seats Also they served breakfast airline meal with drinks that tasted ok,positive,,,,,2.0,,,,,0.5,3.0,1.0,,2.0,0.0,0.0,,0.0,1.0,,0.5,,,
Funchal,airport,Andry M Castro,2020-04-01,It is a very clean airport and very easy to move around Departures and arrivals are well defined and separate It is very safe and there are good shopping areas in the departures My experience at this airport is  flights all without problems at the airport and the last flight was in January  Nice views from airport we can see Desertas Islands and the sea sunrise and sunset,positive,,2.0,1.0,,,,0.0,0.5,,,,,,1.0,,,,0.5,,,,,,
Gulf Air,airline,Anthony Geddes,2024-10-22,Checkin at Cairo went smoothly Both flights on time First sector to Bahrain on a very full A Cabin crew did an excellent job Transit in Bahrain was easy Second sector to Singapore on a  which had plenty of spare seats allowing passengers to spread out after takeoff Good meal service and very attentive cabin crew Would definitely recommend,positive,1.0,,,1.0,,1.0,,,1.0,,1.0,,,4.0,0.0,,,1.5,,,,,,
Sligo,airport,David Conway,2006-02-10,Outstanding views when arriving in on a fair weather day Pass through Airport in little time due to size of airport Friendly staff and facilities need to step up with any increase in flightpassenger numbers Sligo City is only  miles form the airport or Euro taxi Journey Area beside airport is popular for running golf surfing and sea sports with international surf competitions held regularly,positive,1.0,1.0,,1.0,,0.5,0.0,,0.0,,1.0,,,1.0,0.5,,,0.0,,,,,,
Aircalin,airline,Andrew Eckel,2023-05-17,Fantastic flight Despite a delay departing Narita due to weather I really enjoyed my flight on Air Calin The crew were fantastic  very friendly and helpful Excellent onboard service great food a very comfortable seat and the cabin was clean I would fly them again,positive,1.0,1.0,1.0,,,3.0,2.5,1.0,,,1.0,1.0,,4.0,1.0,0.0,,5.0,1.0,,2.0,,,
Bandung,airport,Henri Bemelmans,2018-05-20,Not Verified The new airport is much better than the old but the issue with taxis remains The military controls the airport and hence which taxis are used No meters and extortionate fares Better off walking  minutes south on road outside arrivals right angle to airport terminal and pickup a bluebird or AA cab from there Clean and metered Pity the Government does not stop in and do something about this as it is a horrible welcome to what is otherwise a friendly and interesting city and region,negative,,1.0,1.0,1.0,,,0.0,0.5,0.0,,,1.0,,,,-0.5,,,1.0,,0.0,,1.0,0.0
Jersey,airport,Julie Myatt,2019-08-01,Lots of seating Not enough electric plugs or charge points WiFi was hopeless  it didnt work Tannoy too loud Staff seem nice enough Appeared clean,positive,1.0,2.0,1.0,,,1.0,0.0,1.0,,,,,1.0,1.0,,,0.0,0.0,1.0,,0.0,,,
Middle East Airlines,airline,41 reviewsG Jackson,2024-08-07,Im very fond of this airline  this was my fifth time flying on the BeirutLondon flight and there is a real consistency in terms of service food and comfort The plane is very new the seats spacious and the IFE is good Flight was ontime Crew were friendly and polite and the meal was satisfying there was a choice between  mains Wine and beer was offered and I had no problem at all getting some additional topups during the  hour flight A good flight on a very nice and littleknown airline,positive,1.0,1.0,,,,1.5,0.0,,,,2.0,1.0,,4.0,0.0,0.0,,1.5,,,,,,
LAN Colombia,airline,S Donnelly,2010-02-06,BOGMZLBOG I took them from Bogota to Manizales when I was visiting Colombia in December The crew was fantastic airport staff was polite The planes were new comfortable and service was great Tickets were very reasonable but book them early through the website to take advantage of the promotional fares which could equal  US round trip depending on where you are going and how early you book,positive,2.0,,,,,3.5,,,,,,,,3.0,,,,1.5,1.0,,1.0,,,
Meridiana,airline,F Roberts,2018-02-27,IG  Milan Malpensa to Cairo  Comfortable aircraft outstandingly attentive and polite cabin crew considerate to all passengers Competitive price delivered safely to Cairo All good Based on this first experience with Meridiana I have booked two more flights with with them No complaints whatsoever and no hesitation in offering a recommendation,positive,1.0,,,,1.0,1.0,,,,0.5,,,,3.0,,,,1.0,1.0,1.0,1.0,0.0,,
Horizon Air,airline,Greg Bell,2014-01-29,Seattle to Edmonton  returning  Bombardier Q  plane small but with comfortable seating even for a sixfooter as I am Great cabin crew and nice free drinks An inflight snack might have been nice but overall a pleasant experience,positive,1.0,2.0,,,,0.5,1.0,,,,,,,4.0,,,,0.5,2.0,,1.0,,,
Utair Aviation,airline,P Sprumont,2014-06-02,Flew last week from Munich to Tyunmen TJM  Siberia B with Europeanstyle business cabin middle seat free Smooth checkin my coat was taken by a smiling attendant but no help to put my kg luggage in the locker No entertainment during the   hours journey redeye but more than decent meal with appetisers and good Chilean wine I hope that my return flight in two days will be at least as peaceful although the linguistic capacities of the crew should be improved,positive,1.0,,,1.0,,0.0,,,0.0,,,2.0,,3.0,,0.0,,0.0,,,,,,
Maldivian,airline,R Corden,2018-07-19,Older Dash  but comfortable and good leg room  but very noisy Departed on time  friendly sole flight attendant  juice and water on offer and great views of the Atolls  they were organised  friendly and have pride in their brand and country  cant ask for more than that A bit pricey but no competition I guess,positive,,,,,1.0,,,,,0.0,1.0,1.0,,2.0,0.0,0.0,,0.0,2.0,,1.5,,,
Shenzhen Baoan,airport,1 reviewsEdoardo Agamennone,2016-01-26,Brand new airport On the positive side for Chinese standards it certainly is welldesigned and wellconnected Bright and clean checkin area Good choice of restaurants and cafes both before and after security controls As to the negatives the security controls are quite inefficient and slow the airline lounges are all quite poor and certain gates from  upward are very far up to min walking,positive,,5.0,1.0,,,,1.0,1.0,,,3.0,1.0,2.0,,-1.0,0.0,0.0,,1.0,,0.0,,2.0,0.0
Blackpool,airport,Paul Cox,2014-10-13,Flew to Dublin yesterday th October after catching train from Preston where I had been working for a few days to Squires Gate which is about a  minute walk  ADF was a bit of a disappointment but checkin and security a breeze Staff friendly and efficient Depatures lounge was a bit oldfashioned not necessarily a bad thing quite nostalgic really but was very clean and the cafe was good Aer Lingus as always a joy to travel with,positive,1.0,3.0,1.0,1.0,,0.5,1.5,1.0,0.0,,1.0,,2.0,,0.5,,1.5,,1.0,,0.0,,1.0,0.5
Nuremburg,airport,Klaus Wy,2015-05-31,Due to the relatively low number of flights planes dont have to wait circling around in the air or on the tarmac The airport itself is perfectly connected to the inner city and the central station trains from there take you to Munich Wrzburg and Regensburg in about  hour to Frankfurt and Stuttgart in  hours by a  minutes metro ride Passport and security checks as well as baggage handling are a breeze Staff is very friendly and helpful,positive,1.0,,,2.0,,1.0,,,0.0,,2.0,1.0,,1.0,0.0,0.0,,0.0,,,,,1.0,0.0
Tokyo Haneda,airport,2 reviewsChristopher Yang,2025-01-16,I could not believe this was the first time I had arrived and departed from Tokyo Haneda Airport When I first arrived immigration was straightforward and I was very impressed When I was leaving checkin was also pretty straightforward and the whole Terminal  was massive with great lounges shops and food Plus I got to do plenty of plane spotting from lounges,positive,,4.0,,,,,0.0,,,,1.0,,1.0,,0.0,,0.0,,,,,,,
Olympic Air,airline,Georgios Vrontos,2024-03-30,What a great flight of  hour and  minutes Aircraft was clean departure was on time and crew was very friendly Legroom is reasonable for such a small plane No IFE or wifi but inflight service was very good with  options of sandwiches juices coffee and chocolate,positive,1.0,1.0,1.0,,,1.0,0.5,0.5,,,1.0,,1.0,3.0,1.0,,0.5,2.0,,,,,,
Aerosur,airline,B Crowley,2007-10-04,La Paz  Sucre in an exMexicana  Ticketing process is manual and very slow  beware and get your tickets before the airport We were handed a little snack bag as we boarded then served drinks on board  a great way to provide good service on a short flight,positive,,1.0,,,,,0.0,,,,2.0,,,2.0,-1.0,,,0.5,,,,,,
fastjet,airline,G Foster,2023-09-26,Perfect experience After having read the reviews on Fastjet I was very nervous despite friends reinsurance that the airline had improved dramatically in recent years Well everything was perfect The ticket was very reasonably priced Checkin online and baggage drop off were easy The flight left on time and arrived  minutes early The air hostess was charming The snacks though not fancy were good and our chairs were comfortable The baggage was on the carousel by the time we arrived Very happy customers,positive,,2.0,,1.0,1.0,,0.0,,0.0,0.0,3.0,2.0,,3.0,0.0,0.0,,1.0,2.0,,1.0,,,
S7 Siberia Airlines,airline,L Hankovic,2021-07-07,Excellent safe clean on time and we got a hot meal on board which I did not expect given the fact that during the ticket purchase I was prompted to buy a meal which I did not want to do They are a little bit expensive but  the flight took a long time  hrs Excellent service thank you,positive,,,1.0,,1.0,,,1.5,,0.0,1.0,,,2.0,1.5,,,1.0,,,,,,
Mexico City,airport,Christopher Branski,2024-06-30,MEX consists of two terminals with Aeromexico Delta Copa and LATAM taking up the newer Terminal  and everyone else essentially taking up Terminal  Terminal  is definitely more userfriendly with Terminal  being well over capacity This honestly I dont think will change given that its proximity to the center of Mexico City makes it quite convenient in spite of its shortcomings,neutral,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,
Dublin,airport,Michael Haugh,2024-11-12,Had an excellent experience travelling through Dublin airport to Miami The security was efficient We precleared US customs and immigration which took  minutes saving us from having to do it through Miami There was a good choice of food and drink but very limited once you enter the US zone,positive,,2.0,,,,,0.5,,,,1.0,,,,0.0,,,,,,,,1.0,0.0
Guadalajara,airport,1 reviewsGilberto Sing,2016-05-12,At Guadalajara airport the main hallway is completely renovated but its still very crowded during morning hours as this is the busiest time and lines can be long Staff are helpful and friendly There are  or  VIP lounges  I have used the Aeromexico Salon Premier which is brand new and the BanamexCiti Salon Beyond which is the best for me Many restaurants many stores and duty free,positive,1.0,3.0,,1.0,,1.0,0.0,,0.0,,2.0,2.0,1.0,,0.0,0.0,0.0,,2.0,,-0.5,,,
Air Bagan,airline,G Becque,2015-01-19,RGNSNW Quick boarding with allocated seating for  minute flight in ATR to Ngapali Beach Good safety briefing before time take off and light snack and drink en route Pleasant FAs smooth flight and great landing over the surf and through the palm trees to this small exRAF WW strip on the Bay of Bengal Luggage is delivered by handcart to the entrance gatesexpect to pay kyat per piece,positive,,3.0,,1.0,,,0.5,,0.0,,3.0,,,4.0,0.5,,,1.0,1.0,,0.0,,2.0,0.5
Dakar,airport,Jo Dur,2019-07-11,A brand new airport opened for Dakar in  called Blaise Diagne Its infinitely better than the old one mentioned in other reviews on this page which is no longer in use The new airport is clean and modern with helpful staff Once inside I felt like I was already in Europe I had no problems with security or checked baggage,positive,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,,0.0,,,,,,,1.0,0.0
Jersey,airport,T Olliver,2017-09-26,The arrivals area is pretty shabby but from disembarking the plane to getting on the bus to St Helier took less than  minutes We departed from Jersey late afternoon on a Saturday when it was very quiet and so it was a very pleasant experience The staff at security and in the shops were all helpful and charming For the size of the airport the selection of shops and food were decent although there did seem to be a lack of seating after security however there was plenty at the gate,positive,1.0,5.0,,1.0,,0.5,0.0,,0.0,,1.0,1.0,,1.0,0.0,0.0,,0.0,2.0,,0.5,,1.0,1.0
