review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,source,label_agreement_level,predicted_classification
Beirut,airport,18 reviewsGyan Fernando,2020-01-25,A nice airport and frankly I am surprised at the bad reviews I arrived there at approx hrs Entry and checkin were very easy Security was straight forward and immigration was very easy Once on the airside a restaurant was open as were the dutyfree shops The only downside were the grumpy staff of the shops who obviously had not woken up yet Announcements were clear and boarding was orderly and we took off on time,9.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Neutral
Belo Horizonte Confins,airport,A Hetier,2009-12-07,I concur with the comment below Confins is underused But there is a big plus Conexao Aeroporto buses that take you to the city centre are punctual and efficient Things have changed since and there should be more improvements in the future,3.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Bohol-Panglao,airport,13 reviewsAndreas Becker,2022-05-28,Quiet new airport opened in Check in was efficient Distance to Alona Beach only a few minutes Therefore very comfortable for people staying at the beach There are only few food stalls available Overall a fast and efficient airport,8.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Cochin,airport,Vidya Iyer,2021-11-06,Very disappointed to see that you are busy aping the western culture and forget our own roots As an Indian I am very proud of my heritage and all my traditional food However Cochin airport is a far cry from that You will happily serve cappuccino coffee to please a foreigner while completely omitting to serve a traditional Indian masala tea or a nice bru coffee It is very sad what Cochin airport has come to,2.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Damascus,airport,J Delmonte,2011-05-01,I first arrived in Damascus in Feb Since then I have been back and forth almost times a year since then I am an Englishman who met and married a Syrian girl in The airport in my view was more relaxed in the old days whereby you could check in and walk back into the loungecafe for tea etc with your friends and family,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Dunedin,airport,Y Ren,2011-11-13,DUD is a small but efficient airport with everything you need Landed from Wellington bags out very quickly The airport is quite far from city centre mins cost nearly dollars by Taxi and dollars by super shuttle Departure is well organised checkin sufficient airline lounge is located upstairs security check right before you board,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Durban,airport,Rich Jenkins,2016-08-22,A generally good experience at Durban airport Arrival is quite simple and they seem to keep the touts out of the waiting area The checkin is well organized and immigration outbound proceeded quickly There are a number of shops and restaurants The food and the shopping are forgettable but not expensive Decent amount of seating at the gates Wifi works fine,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Florence,airport,40 reviewsS Berten,2025-02-16,A rather small airport serving Firenze I used the airport in the winter season so imagine it during the busy summer season Theres bus boarding only and max small gates It has a abundance of dutyfree shops and food beverages counters Prices are reasonable Staff is friendly and efficiently working,6.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Glasgow,airport,P Magee,2023-08-24,Return flights from Glasgow to Verona Check in was quick as was passing through security Facilities were alright bearing in mind our flight was at am Boarding was efficient Return again was stress free other than the automated passport gate refusing to let me through Baggage was already on the carousel when through security All in all a pretty good experience,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Gothenburg-landvetter,airport,6 reviewsThomas Lemoigne,2017-08-02,Landvetter airport is a rather small one well organized and neat Security checks have seldom long queuing and are generally fast Lots of toilets are available very clean with taps to fillin bottles with water So do not hesitate to pass security with an empty bottle Shopping options are limited as the airport is small but the choice is more than correct This airport seems well managed,8.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Negative
Guayaquil,airport,Joseph Travis,2011-08-07,Guayaquils airport has most of the services that we have here in Australia they even offer jetways into planes There are restaurants ATMs machines banks coffee shops and entertainment it passed our expectations without doubt,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Hangzhou,airport,Joe Bailey,2008-11-06,Pretty basic as airports go Way out of town it is simply ridiculous and taxis are well keep your belt on and wear a helmet if you have one The airport sort of works but this is a typical domestic Chinese airport not great not entirely hideous but you know what If you want to fly to Hangzhou its this or nothing I can tell you it is heaven compared to the central rail station,2.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Iasi,airport,40 reviewsR Hartens,2024-02-18,The current airport is small but efficient A new much larger terminal is being build Border and security control was fast and efficient All gates are currently in one large terminal with bus boarding only Staff was acting friendly and speedy Bus brings you to to city in for only Lei,10.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Iloilo,airport,E Carew,2015-04-23,I arrived at night so it was difficult to be as observant as during the day but baggage came off the conveyor belt within minutes and I obtained a modern car with a very pleasant driver for the transfer to my city hotel the transfer costing P which was reasonable Overall an airport that delivered for me on this trip,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
John Wayne,airport,Colin Gorman,2013-05-26,This is my preferred airport in SoCal for arriving atdeparting from which I do on a regular basis Big enough to offer connections anywhere in the US for flights to Europe yet small enough offer a quick friendly and efficient service tofrom your gate Drop off facilities outside the terminals needs to be improved but apart from that no real complaints,9.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Kiev Zhulyany,airport,katya ivanova,2019-08-04,This airport was very efficient no lines or delayed services There are a lot of shops where you can shop and places where you can have a bite Delicious coffee and bakery items to buy,10.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Neutral
Kilimanjaro,airport,Adam Simmons,2010-06-23,Compared to so many airports a delightful experience I was first off my arriving flight and so did not have to queue for a visa Only one person was doling them out so I guess that stragglers had quite a wait On departure plenty of shops for such a small airport with plenty of seating both indoors and out no problems in either direction with passport or customs,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
King Mswati III Intl,airport,3 reviewsTeayaung Kim,2016-02-09,Recently opened airport because the former airport in Matshapa is now being used as something else The new location is quite inconvenient because it takes more than an hour from Mbabane city centre and I would strongly recommend that you use the road from Johannesburg to Mbabane because it takes only four hours from SA Cost wise it is also efficient to use the road,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Kinshasa,airport,S Ross,2016-10-13,I read horror stories and read terrible reviews about Kinshasa FIH Ndjilli Airport I was very nervous about going through there What a lovely surprise awaited me A brand new terminal clean bright air conditioned well a big plus in Africa all employees well dressed and polite Procedures took time and were very detailed but nothing out of the ordinary You dont really need to pay a VIP service to go through you will be OK on your own Make sure all your travel documents and stay details ready for inspection,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Launceston,airport,G Wilson,2012-01-27,Good airport with facilities to cater for the number of flights Slight delays on arrival due to fruit and vegetable quarantine but no problem read the notices and listen to the announcements makes it easy It does the job,8.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Neutral
Leipzig/halle,airport,Evan Duerr,2008-01-22,Easy to get to with car from the Autobahn or from Leipzig with the train The airport is large but not confusing or crowded Security was a breeze All the people seemed nice,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Leon Guanajuato,airport,Sandy Huff,2007-02-05,Ive flown in and out of BJX a half dozen times and have no problems Take along a book or knitting as there are only a couple of souvenir shops but they are colorful and reasonable My destination has been San Miguel de Allende the art colony thats popular with US citizens,0.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Lviv,airport,J Tydeman,2012-09-19,A brand new airport which is large and spacious but lacking in facilities Our gate was in an area where there is no catering and no access to a part of the airside where we could even get a coffee Staff are not all that friendly here but it seems to be efficient with little queuing though not all the many flights either,7.0,Positive,Negative,Positive,POSITIVE,Positive,,2/4,Neutral
Mauritius,airport,1 reviewsDinesh Maudhoo,2019-12-28,Probably the best island airport in the Indian Ocean Well designed structure the only challenge is the long queue in the immigration hall The authorities need to arrange extra officers during peak timings,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Medan,airport,T Thomas,2013-12-09,This is a well designed airport There is no hassle from porters and taxi operators Checking in is very fast and efficient Arrival luggage handling is very good,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Medan,airport,Anthony C Lawman,2012-08-07,I have used Polonia six times in the last four year both international and domestic arrival and departure No problems with taxis overcharging just as for any airport do your research Be affirmative informed and polite,6.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Miri,airport,G Carroll,2005-10-14,The new airport in Miri is a blessing to all of us frequent travellers Although it is small it is efficient clean and cool If anything needs to be imroved on is the charges we have to pay for a small cup of coffee or a meal The charges are much too high for a domestic airport,0.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Montpellier,airport,40 reviewsH Rowe,2020-07-30,A small yet very convenient airport in the south of France From the plane to the exit takes no more than min Signaling shopping etc is all fine given the size and role of the airport Its not the most modern airport but everything is well maintained Theres a convenient bus service to the city center,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Mytilene,airport,Janette Willis,2016-02-01,We were delayed for nights due to bad weather on the th and th January The staff at Mytilene Airport in Lesbos were excellent they kept a smile during a very difficult time for them We were given a voucher for food and drinks each time our flight was cancelled times in all and they sent us to very good hotels both nights In addition when we asked if they could extend our journey for the days that we had lost they did with no problems,10.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Negative
Nanning Wuxu,airport,P Hu,2016-04-28,The airport is very new and modern I have flown through this airport multiple times but this is the first time at the new terminal It is a lot larger than the original terminal There was finally free WiFi and it was pretty fast considering the internet in China It was mainly based off of Shanghai Pudong the airport I was actually flying to and had the identical announcement system that PVG terminal had Although there were a few foreigners including me it felt very open and very welcoming,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Naples,airport,O Assam,2024-07-12,Lives up to its name no signs chaos rude airport staff overflowing rubbish bins of flight delayed and no aircon but great food Unless one wants to fly to Rome and drive not many options to visit Campania and it is worth visiting so just have to roll with it and accept it,2.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Negative
New Orleans,airport,E Smith,2023-05-12,Was departing New Orleans two days after jazzfest Had no problems with queueing anywhere Had some time to kill before my flight and sat outside in a cool spot close to where buses depart Spent some time chatting to n airport employee Absolutely delightful polite young man,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Nuremburg,airport,1 reviewsAlexander Cunningham,2023-11-14,A friendly airport if you just want to watch the planes from the viewing area but not passenger friendly poor layout Up a lot of stairs for passport checks when you arrive Had to go through security the past twice on departure the both times they claimed I had passed through a public area after the first check Security patdowns are embarrassingly intimate,6.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Nuremburg,airport,Christian Wagner,2020-01-10,Nuremberg is an amazingly convenient and fast airport You get there easily by public transportation from the metro station to check in its not even one minute walking and you can be at your gate within minutes of arriving Baggage delivery is quick mostly your baggage is already at the conveyor belt when you get there,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Palm Springs,airport,H Fehr,2008-03-25,PSP is a beautiful airport in the secured area However the checkin to the security point is a long walk for the many retired people that travel through this airport The open air feeling is great in this warm climate The biggest negative is that when there is poor weather and those times are few is the lack of technology for pilots to land During a rain storm and low visibility we were delayed minutes while circling and then continued to Los Angelos then bussed back to Palm Springs,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Paris CDG,airport,M Collie,2024-12-09,Transited twice in November without problems Signage is good distances are large even within terminal e No problems either time though timings were circa an hour and a half Security check each time but fairly fast and efficient,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Pointe Noire,airport,Dave Stanley,2009-08-09,The airport is small and modern It has both local and international flights Air France Arrivals are no problem and there is not far to walk from the aircraft to the airport exit There did not seem to be to many people bothering passengers Departures is also straight forward with modern checkin desks There are not many shops in the departure area and only one basic cafe There is adequate seating and the airconditioning works well Overall a very good experience compared with other African airports,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Portland,airport,Simon Fowler,2022-06-23,A quiet afternoon at PDX Short queues to get through security with efficient and helpful staff As the space allocated for security was fairly small I can imagine at that at busy times there could be problems,7.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Poznan,airport,6 reviewsWojciech Grzebyta,2020-08-03,When I got out of the plane there was no bus shuttle to the terminal but this is understandable because of the Coronavirus Border control was fast and my experience at the airport was pleasant,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Providence,airport,S Neubert,2014-01-21,Quick lines through security and it is a better option than flying out of Logan with the longer lines Airport restaurantsbars are limited but OK for all the longer that you will be there,7.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Riyadh,airport,M Anderson,2024-10-28,A supposedly international city airport and in the huge transit area the managers dont even manage to install a few water fountains for cool refreshing water for tired and thirsty travellers especially those with children What an appalling omission It is a shame really as in most other respects the airport is very pleasant,2.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Rodez,airport,Matthew Noble,2007-05-16,A small little provincial airport can be a touch uncomfortable in hot weather as the large glass windows absorb the sun as you wait in the departure area One small cafe serving reasonable food and drink Check in quick and car hire points convenient to main entrance Good main road access to the town of Rodez and Tarn and Tarn et Garonne etc,4.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Rotterdam,airport,R Blok,2011-09-11,As I live nearby its a convenient airport for me especially because of frequent flights to London and Southern France You can make use of free Internet Parking is cheap Connection to Rotterdam City and Port area is good and quick Hardly any queuing you can arrive mins before departure without any problems Whenever possible I make use of RotterdamThe Hague Airport,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Sanya,airport,R Pontida,2009-03-13,No real problem with the airport As with most chinese airports its rather recent with pretty efficient baggage claim Its also relatively close to the city ab km which means there are cheap and crowded regular buses and taxi will cost you maybe yuan But what I really love is the waiting area outside,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Sao Paulo Congonhas,airport,E Torre,2011-09-14,One of the best domestic airports in the country Wellsituated Come prepared for delay gate changes and high prices Be careful with illegal taxis,3.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Neutral
Seychelles,airport,18 reviewsGyan Fernando,2017-02-12,This is a small but friendly airport The checkin area is not air conditioned and is hot Checkin was efficient immigration and security were efficient with hardly any queues In departures there were two food and drink outlets a dutyfree shop and several other shops Boarding was efficient,9.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Subang Kuala Lumpur,airport,Derek Moore,2012-01-18,Modern and easy to use No queues to speak of Firefly the main user are efficient and a cheaper alternative to flying Malaysian out of KLIA However beware transfer times from downtown KL especially during morning and evening peak times even more so on MondaysFridays Although nearer to the city centre than KLIA it can and did in my case take longer to get to Subang mins than it would have taken to get to KLIA,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Surat Thani,airport,5 reviewsS Jackson,2017-09-22,We had quite a lot of time to kill in this airport and it didnt disappoint There was a restaurant right in the middle of the terminal that was delicious and decently priced Unfortunately the wifi was not working no matter how many times we tried but they had this nice area called the library we sat in that was pleasant and helped the time pass,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Taipei,airport,L Han,2023-10-24,There is very good food and Wifi Internet The dutyfree shop has all kinds of brands and it is cheaper than neighboring countries The immigration inspection is fast and not difficult,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Tokyo Haneda,airport,8 reviewsM Hemire,2024-10-07,Haneda is a nice airport but immigration is hell long lines clearly show the Japanese slowness to adapt to any increase of the of arrival If you fly in while low traffic It is one of the best airport but not today as I will be losing minutes to pass immigration,4.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Townsville,airport,G Stenchion,2024-08-30,The security staff at Townsville Airport are the most friendliest efficient and personable I never dread having to go through screening at this airport pity Brisbane AP doesnt operate as efficiently,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Waco,airport,1 reviewsBlake Donaho,2018-03-05,Waco Regional is not a bad airport overall They only have one flight which is to Dallas but I have heard rumors that United Express is resuming flights to Houston The reason I have given it stars is because their flights are always delayed or late My advice to travelers flying into Waco is to have patience The baggage claim takes a while The car rental facility is not bad for a small town Overall I think the airport shows good quality,8.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Negative
Windhoek,airport,P Johnson,2017-06-21,Windhoek is a small airport with an increasing number of flights Facilities are limited but everything you need is there and seemed sufficient for numbers passing through Arriving early departing late on Air Namibia fromto FRA arrival took less than an hour and departing security was a reasonable time Staff were efficient and friendly Much easier to pass through than major airports,7.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Xi'an,airport,M Cavanagh,2014-04-23,I departed on th April and was lucky to make my flight I was part of a tour group and as there were many groups trying to leave at the same time and not enough check in staff to process the travelers I made my flight with minutes to spare,6.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Xi'an,airport,B Howard,2013-06-28,Last time I was in Xian Xianyang airport was in I have visited many times before There was always a Scrum outside the airport building for tickets and to board the airport buses for downtown Returned this year a lot has changed with the airport and getting tickets for the buses You now go to a ticket booth inside the building Then a waiting room for your respective bus What an improvement,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Air Bagan,airline,Ian Vagg,2011-03-14,Chiang Mai to Yangon return and pleasantly surprised by the standard fairly new aircraft and meal service for minute flight Flight attendants were somewhat offhand Reasonable leg room in economy,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Air Koryo,airline,11 reviewsSimon Hedges,2017-06-25,Pyongyang to Beijing with hotcold drinks and a hamburger which was adequate for length of flight Very polite and welcoming service Efficient check in and boarding In flight entertainment limited to a video of recent North Korean hits Pyongyang Times and Korea Today available to take on board,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
AirSWIFT,airline,C Gorten,2025-01-29,Everything about the flight experience went well I was worried reading the other reviews but in the end it was a very positive experience The terminal in El Nido is also very good,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Bamboo Airways,airline,M Harti,2023-06-08,Da Nang to Da Lat The checkout process was smooth Although there was a minutes delay due to the late arrival of the airplane once we boarded everything went on well The legroom was not that cramped I found the crew service even better than Vietnam Airlines flight I flew to Da Nang several days before So I might fly this airline again on my future visit to Vietnam,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Beijing Capital Airlines,airline,Z Chen,2024-05-14,I take this airline from Hangzhou to Lisbon th May The food is good taste and various I have stony insomnia problem and i did not pay attention and lost my sleeping medicine into rubbish I told the air hostess she is warmheart and patiently helped me search the rubbish patiently almost taking hours and finally searched my sleeping medicine I am thankful for this,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Bulgaria Air,airline,Katina Panayotova,2022-01-10,I have travelled multiple times with them alone with the kids and bought tickets for my dad and I had everytime struggle One flight they told me at the check in that the strollers they do not put in bags and I was suppose to know that which I didnt so my stroller came broken in the us Very unprofessional and the team is the same They have wonderful flights with great connections and prices but because I had so many times struggle with them I will not book a flight with them And I am Bulgarian,1.0,Positive,Negative,Positive,POSITIVE,Positive,,2/4,Negative
Carpatair,airline,René Engesser,2011-04-24,FCOTSRIAS Business Class Checkin in FCO terrible just counter minutes waiting time No lounge offered Inflight service with very friendly and attentive staff good food Transit in TSR as well despite of being a small and old airport was ok Here again very polite staff,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Easyfly,airline,Miguel Salcedo-Gomez,2016-01-11,Palonegro to Cucuta with Easyfly Was put on this flight after Satena cancelled one of the legs I was hesitant since I had to make it to CUC that day The JS are quite small yet efficient planes Easyfly ground staff at Palonegro was quite helpful and professional Flight was smooth and punctual No complaints at all Despite the short duration of the flight minutes refreshments were offered Would consider it if needed,8.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Negative
fastjet,airline,K Sandler,2021-08-11,Its nothing too special but it was definitely an affordable price The inflight food and beverage was comprised of a juice box and bottled water The customer service is ok There was in issue with the website where it continually declined my card but it actually charged my card every time I attempted meaning with four attempts there were in false charges Fortunately the customer service could be reached by WhatsApp and they were able to refund me for the imaginary flight bookings,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Go First,airline,Priyanshi Jain,2023-04-22,I fainted in the flight and where some crew may have panicked in some cases this crew handled the situation very well Provided me with all the necessary assistance and first aid and was very kind and humble till the end,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Gol Transportes Aéreos,airline,33 reviewsNiels Petersen,2022-09-04,I took GOL twice for domestic flights during a recent trip to Brazil I chose the extra legroom seats which were available for a reasonable surcharge and offered plenty of legroom Overall the flights were comfortable and on time All passengers were offered a small snack and a drink I would choose GOL again,8.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Jetairfly,airline,Bryan Lammens,2016-01-07,Brussels to Casablanca on Jetairfly and everything was great The price wasnt too expensive there were no delays and the staff were polite and professional Only negative point is the leg space but thats okay for less than hours in my opinion I will fly with them again,8.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Kam Air,airline,Dave Stanley,2009-05-06,DubaiKabulDubai The price of tickets is very high It costs more to get to Kabul than to the UK from Dubai Kam Air were OK on this trip It was a MD both ways and were were almost on time The only problem was the return because of some stupid security procedures in the airport They apologised for that though it was not their fault Neither flight was full so was able to get a row to myself which helps Kam Air along with Safi is still the best way to get to Kabul from Dubai,3.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Privilege Style,airline,B Carson,2019-08-17,Manchester to Tenerife On the morning of our flight TUI informed us that due to scheduling issues they have enlisted Privilege style as a charter airline The seat was comfortable only issues were my tray table was loose the window was in a position that caused pain on my neck to look out of it The interior felt somewhat tired Apart from this the flight was comfortable and landed safely,6.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Negative
Sansa Airlines,airline,W Cannock,2019-12-18,We flew from Liberia to San Jose This was an incredibly easy flight We left exactly in time and arrived a few minutes early in San Jose The San Jose Domestic terminal is a very easy and quick experience Absolutely no problems whatsoever I would highly recommend,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Skymark Airlines,airline,Farel Silalahi,2014-08-08,Flew Tokyo Narita Sapporo Tokyo Narita Flight from Narita was on time while from Sapporo to Narita was delayed for hour Overall flight was ok Ground staff very professional,8.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Negative
Southwest Airlines,airline,S Howell,2024-10-29,Great airline Very friendly staff Flown with this airline around times and never had a bad experience only of my flights have Been delayed and none cancelled,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Spring Airlines,airline,25 reviewsAlain Kupferman,2024-11-20,I have read many negative reviews about this airline so I was not disappointed There was absolutely no service no water was offered no entertainment seats were standard but could not be reclined Checkin was efficient as well as boarding and the most positive point was that the plane left and arrived on time Given the price it was a reasonable option,5.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
TAROM Romanian,airline,45 reviewsG Harlun,2024-06-02,Boarding by bus transport Flight on time cabin crew friendly They served water during the short flight Got an emergency exist seat based on my frequent flyer status No entertainment available Landing ahead of schedule Nothing special but effective flight,9.0,Positive,Negative,Positive,POSITIVE,Positive,,2/4,Neutral
Trigana Air,airline,47 reviewsL Garzler,2019-01-03,Yahukimo to Jayapura Flight was about an hour late quite normal in this remote place Plane was comfortable enough with reclining seats and even a box of tea provided unlike on the sole competitors flights on this route,7.0,Neutral,Positive,Positive,POSITIVE,Positive,,2/4,Neutral
Tropic Air Belize,airline,Pat Kelly,2022-08-10,This company is horrific We had a cancelation of our flight back home and this airline refused to refund our money Fly Maya Island Air They are exceptional less expensive and very flexible The planes are also shady You will not regret flying Maya Island Air Have a wonderful and safe flight,1.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Negative
Vanilla Air,airline,N Wu,2019-01-07,Hong Kong to Tokyo Both outbound and inbound flights were ontime Very little or no turbulence experienced during journeys This was very good Checkins at ground were fast and efficient Will choose Vanilla Air again in the future,10.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Volotea,airline,Filippo La Rosa,2025-04-02,I have been flying with Volotea for years and have never had any problems I believe that the company is one of the best in existence This is due to all the staff and the company organization Sono anni che volo con Volotea non ho avuto mai problemi Ritengo che la compagnia sia una delle migliori tra quelle in essere Questo merito vs al personale tutto e allorganizzazione aziendale,9.0,Positive,Positive,Neutral,POSITIVE,Positive,,2/4,Neutral
Xiamen Airlines,airline,Keruby Ge,2024-03-29,The experience is a unique one and I also have a trouble on how to rate this airline We start off from Singapores Changi Airport and the check in was quite smooth note that their carryon is only kg we get our boarding pass finish security and customs we finally managed to board the plane the cabin crew was very sweet and nice we are not delayed however the landing was super bad,7.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Neutral
Xiamen Airlines,airline,Keruby Ge,2024-03-29,The experience is a unique one and I also have a trouble on how to rate this airline We start off from Singapores Changi Airport and the check in was quite smooth note that their carryon is only kg we get our boarding pass finish security and customs we finally managed to board the plane the cabin crew was very sweet and nice we are not delayed however the landing was super bad,7.0,Positive,Positive,Negative,POSITIVE,Positive,,2/4,Neutral
Clark,airport,K Gavino,2018-06-10,Clark Airport is well secured and accommodating for passengers and there are plenty of seats provided in the predeparture terminal There are also small food stalls for the passengers who can fill their tummy while waiting their flight to depart,9.0,Negative,Positive,Neutral,POSITIVE,Positive,,,Neutral
Jin Air,airline,L Sayuki,2022-11-24,We had some troubles getting to the airport and were so worried we were going to be late We arrived at the check in counter just a few minutes late but the Jin Air employees were so kind and accommodating They got us through security and to our gate and we made a flight we otherwise would have definitely missed Just so grateful Thank you,10.0,Neutral,Positive,Neutral,POSITIVE,Positive,,,Neutral
Fes-Saïss,airport,S Foster,2019-12-17,Totally not as bad as all the reviews had us expecting No printed boarding pass needed They just gave us one Ryanair No long waiting time Only thing too cold and no smoking area after security check,8.0,Neutral,Neutral,Negative,POSITIVE,Positive,,,Negative
Komatsu,airport,1 reviewsW Chan,2019-12-15,Its mainly a domestic airport Internal sign and direction system is clear and well arranged Immigration check procedure is efficient The Japanese officers are well organized Public transportation from Komatsu airport to city downtown only relies shuttle bus The schedule is not frequent The time interval is often more than one hour,6.0,Neutral,Positive,Neutral,POSITIVE,Positive,,,Neutral
Akasa Air,airline,J Reddy,2025-01-26,We were running late due to high traffic in Ayodhya owing to Kumbh Mela Akasa helped us by providing buffer minutes at boarding This helped us in arriving to the flight in time They have ensured that our boarding is faster so that overall flight time wont get delayed As soon as we are seated flight took off within mins This did not result in any delay,10.0,Neutral,Negative,Negative,POSITIVE,Positive,,,Negative
Washington National,airport,30 reviewsZiauddin Ahmed,2024-04-25,I used this airport several times past few years This time I was traveling to Greenville SC I found the Airport was improving in terms of services and facilities This airport is not too large one but it has all basic facilities Moreover it is located in the central of Washington DC,6.0,Neutral,Positive,Neutral,POSITIVE,Positive,,,Neutral
Hangzhou,airport,J Wong,2008-01-17,Airport uses a lot of natural light The design is modern especially the departure lobby the ceiling its so high The staff in the airport have good manners The luggage arrived quick and theres plenty of checkin counters too The bad thing airline lounges terrible,5.0,Neutral,Negative,Negative,POSITIVE,Positive,,,Negative
Foz do Iguacu,airport,15 reviewsP Hayes,2023-11-26,Mainly domestic airport serving the Brazilian side of Iguassu Falls Busy airport with a air bridges and some remote stands Shopping opportunities as you walk from the gate to Baggage Reclaim Baggage Reclaim is on the ground level and has main baggage carousels Domestic arrival so no Customs or Passport Checks Small and busy Arrivals area with parking directly opposite Small but efficient airport,8.0,Neutral,Positive,Neutral,POSITIVE,Positive,,,Neutral
Nagpur,airport,Spandan Wane,2019-07-08,Its a smaller airport compared to Mumbai not a problem actually Some toilets on the arrival hall are not good This airport has more shopping options now and its enough actually There are spa and lounge facilities available here The lounges are okay I have never experienced any delay to date Overall an above expectation feel It gets my job done,7.0,Neutral,Positive,Negative,POSITIVE,Positive,,,Negative
