review_name,review_type,passenger_name,review_date,review_text,VADER_Sentiment,TextBlob_Sentiment
Los Angeles LAX,airport,Michael Bookman,2024-07-16,$10 for this rinky dink breakfast sandwich that has one paper thin small piece of ham on it to call it a ham sandwich. This is just highway robbery!,Neutral,Negative
Los Angeles LAX,airport,W Miller,2024-05-15,As usual gate changed twice necessitating walking between terminals. Happened every time visited this airport. Most restaurants shut down at 9:30pm which means no food on internal flights.,Negative,Positive
Luanda,airport,S Kayne,2023-08-04,"Looking forward to our holiday in Portugal, we decided to book TAAG as this would be the quickest flight. This is the first time my family and myself have flown using your airline and I can honestly say it will be the last. We departed Johannesburg on Monday the 26th June. We had a short layover in Luanda, whereby the plane should have left at approximately 11pm. Come boarding time, the board read flight boarding, however, we were told by staff that there was no plane for us and we had to wait. The wait took until 2:30am after there being another mess with the boarding pass machine (written boarding passes were made - for what I don’t know as all the info on the written pass was the same as the printed pass. We thought this was a one off problem, however when we returned to SA (18th July) we were met with the same confusion at Luanda Airport. No plane available to accommodate us and another long wait of 4 1/2 hours and not much information was given from TAAG staff. I find this unacceptable. The flights cannot be faulted however the airport and ground staff need a lot of work. If you are booking flights surely planes should be available and not this hash up.",Negative,Positive
Luanda,airport,Heather dos Reis,2018-07-03,"Although shabby and expensive, I have to give credit where credit where it's due. While waiting to board my flight, I was asked for my boarding pass, then told that my suitcase had broken open and that I was to go with them to verify that my belongings were all there! I followed the man into the bowels of the airport, to find that the suitcase was not mine. It belonged to someone from Sao Tome. Our luggage numbers were similar. Thanks anyway Luanda Airport, Obrigada para a sua atencao!",Positive,Negative
Luang Prabang,airport,D Allen,2017-01-20,"Not a good impression on entering Laos through Luang Prabang airport. On the flight you are given some forms. You queue in the visa on arrival line, then you are told you should get another form from a desk in a corner, with no information. You queue again in the visa on arrival. You pay inflated prices in Thai Baht unless you happen to carry dollars. Then you queue again in another line with the first form you completed, which has same info as second. Staff were grumpy. Feels very bureaucratic.",Negative,Positive
Lucknow,airport,41 reviewsD Anderson,2017-04-02,"There is no jet bridge at Lucknow airport, so you have walk down the stairs from the aircraft and board a bus. Overall, the airport is very small so there isn't much walking to do. During my return flight, I arrived at Lucknow airport 3 hours before departure (standard practice at many US airports). I was told to sit in a waiting area and check-in 2 hours before departure. Check-in bags are screened before you visit the check-in counter. Once you clear security, the boarding area is small with limited seating.",Positive,Negative
Luton,airport,S Hayle,2024-06-15,"Giving up on Luton. Parking is so ridiculously expensive, we’re picking Gatwick or LHR from now on. All good other than that so not much else to say.",Positive,Negative
Luton,airport,Alex Dias,2024-02-22,"What an absolute shambles is taxi drop off and pick up. They are now at the mid-term car park where one is PROMISED a shuttle bus that doesn't come. On Wednesday the 21st of February at 10 pm, there was a queue of people waiting for the bus. It simply didn't come. I had to make it by foot (a good 15 min walk if not more) with a toddler and luggage to where our taxi was waiting. The whole arrangement is chaotic and confusing. The whole thing is in disarray. Same story when we arrived at the airport, but it was raining so we had the privilege to walk to the terminal on the rain, suitcase, children and adults got soaked in the process. I bet the CEO of the airport doesn't get to experience this. What a mess this is. I would give them 0 stars if I could.",Neutral,Positive
Luxembourg,airport,Annick Maas,2024-11-17,"The security team at this airport is rude, inefficient and unfriendly. You'll always have problems. You can be totally ok (same bags and clothes) at other airports yet in Luxembourg they will find something. The security staff is rude and speaks with travellers in a non respectful way.",Negative,Positive
Luxembourg,airport,M Lawlor,2024-09-23,"Shockingly poor airport. Checking border passes on a screen visible to the public (security and GDPR breach). No border police at border checks until after the queue has stretched well into the duty free and pilots were delayed. Eventually one police officer appeared, their e-Gates remained closed.",Neutral,Negative
Luxembourg,airport,M Zietkiewicz,2022-10-24,"We are currently at the Luxembourg Airport, flying with three kids and are not allowed to enter the waiting room for the departure gate as it is ""too full"" - although you are able to see that there are still seats left. So, the kids have no access to seating, rest rooms or beverages / food. The security / police let certain passengers pass but is denying access to all other passengers. No information at all, no signs, no info, no spoken info. Nothing.",Negative,Positive
Luxor,airport,M Doray,2010-12-28,Arrived at 3pm for a 6pm flight. Long queue for security (just as you walk in the door - before check in). I accidentally left more than 100ml liquids and my laptop in my bag but they didn't detect it in the chaos. My wife's belt set off the security metal detector alarm but the security staff were busy looking elsewhere in the chaos and didn't notice. Check in lines were another long wait. Passport control only had 2 staff on so another 20 min wait there. My son wasn't visible to the passport control officer but that didn't stop his passport being stamped by an officer clearly in a hurry. The policeman/officer who checks that you have a passport stamp before moving to the next stage couldn't find my stamp but the queue was so long he just waved us through not checking any of our 4 passports. There are more (duplicated) security checks to get to the gates but this was equally lax and might as well not have been there. The fellow supposed to be watching the xray screen was talking to his mates. We had 15 minutes to rest at the gate before boarding. It looked like a modern airport but in the chaos and queues we didn't get to see it. Tip: get there early expect chaos and with that in mind you can't be disappointed.,Negative,Positive
Luxor,airport,K Jasmin,2008-10-28,The airport building is much better maintained than Cairo with shops and cafe. However like Cairo there are very bad touts particularly on the forecourt. I haven't experienced the ones at check in as others have but this may be because of my flight time. Domestic check in is extremely chaotic and disorganised for departures with conflicting information. Arrivals (international) is similarly chaotic for people who have no organised visas in advance with long poorly organised queues for both visas and immigration (both with a shortage of workers). I recommend international visitors get a visa in advance as this will save a lot of frustration at Luxor as arrival is very disorientating with guides touts and unhelpful staff giving conflicting information. Beware the taxi touts outside and be sure to have small denomination notes upon arrival for a bus into town.,Negative,Positive
Luxor,airport,B Barry,2006-06-20,I would agree with the above comments. The only smoking areas are the restaurants where you are obliged to buy at least 1 beverage and at £E17 for a really rough coffee we felt a bit ripped off. They were also charging £E13 for a kids lollypop which would cost 25p in the UK. On check in there was a guy lifting hand luggage onto the X-ray machine (you had no choice in this) then getting stroppy because all I had was a £E10 - the equivalent of £1 Sterling for 2 seconds work!,Positive,Negative
Lviv,airport,J Tydeman,2012-09-19,A brand new airport which is large and spacious but lacking in facilities. Our gate was in an area where there is no catering and no access to a part of the airside where we could even get a coffee. Staff are not all that friendly here but it seems to be efficient with little queuing (though not all the many flights either).,Negative,Positive
Lviv,airport,B Scott,2012-09-07,The new airport is a large airy and often empty building. Flew to KBP and connected to RIX on Friday morning and we were the only flight for 4 hours. Although there was no other plane at the airport instead of parking the VV ATR 72 by the gate they parked it over at the far side of the old terminal necessitating a long and completely unnecessary bus ride. Check in was quick and so was security. There was a small cafe after domestic security and nothing else. Oddly the signs pointing to domestic gates didn't match the number of the gate shown for our flight. Looking to the terminal from the front domestic gates are to right international in middle. A cab to the airport was about 20 minutes at 8.15. If you take the trolley bus I think it drops you at the old terminal so you'll have a walk of a couple blocks.,Neutral,Positive
Lyon,airport,Nick Perry,2024-12-20,"The staff at this airport were rude, unhelpful and uninformed. Both security and passport control were extremely slow. We arrived 2 hours 20mins before departure (would have been earlier but the signage to get back to car hire drop off was poor/confusing) and still nearly missed our flight. Security was a shambles, badly laid out with bottlenecks that slowed the process down. Passport control was obviously understaffed with just 2 desks open. There was a large queue downstairs to get to an escalator that took you upstairs to the passport control hall where there was another large queue. Passengers were being held downstairs to prevent overcrowding upstairs. Our gate had already been announced by the time we cleared security so we went straight to the back of this first queue. We were still in this first queue when our flight status moved from “boarding” to “closing”. When we asked the staff holding the queue in place what we should do we were met with shrugs and a “what do you want us to do about it/we don’t care?” attitude. Worried about missing our flight, we found a lift that bypassed the first queue and got up to the passport control hall where one of the desks was being used to “fast-track” certain flights. We made the flight, and had to wait for other held up passengers, so the flight was delayed. The BA crew were great and apologetic even though the situation was beyond their control. It sounded like parr for the course for Lyon. I’m surprised BA and other airlines put up with such a terrible airport that treats their customers appealingly…",Positive,Negative
Lyon,airport,Sue Lloyd,2024-03-30,"Not great. Easter Saturday and only two people on passport control - almost 1 hour wait. Hot, stuffy and toilets not working near passport control. Bags came out on the wrong belt - shuttle to car hire wedged with nowhere to put luggage - but of a third world airport to be honest - compared to the slick check in and security at Gatwick",Positive,Negative
Lyon,airport,1 reviewsE Merill,2024-03-04,"I had a connecting flight here to London and Montreal. First off, the WiFi here doesn't work. I was in the airport for hours and would maybe have WiFi access for a minute or two at a times until it disconnected again. One small plane of people took customs 30-40 minutes to clear through. Then I had to walk through and extremely long series of hallways to try to get to my flight because the door that led to connecting flights was locked. It was completely empty and the lights were off in a lot of sections of it. I felt like I was trespassing at times, it was so quiet and eerie. After a while signs didn't point to connecting flights anymore and just said exit. I had to walk around and try to find someone to ask for directions. Then after finding the terminal it was a task to find the check-in counter for my flight. I walked around for quite a while trying to the counter and couldn't find it anywhere. I gave in and asked an employee at an information desk where it was. She looked at me like I was an idiot and told me that it says on board next to the flight. I went and looked and it said something like 10.26 or something. I had no idea what that meant. I tried to find a different employee who could help me find the check-in counter, couldn't, gave up and went back to the lady. I asked her again and she said she would look it up and then told me that it's at 10.26. I still don't know what that means. She says that it's downstairs, past all the shops on the other end of the building. I get there and they said that check-in had closed five minutes earlier. I ended up having to book another flight back to London because all the flights that week were over a thousand dollars. So I had to deal with this archaic check-in system. After waiting half an hour in line I found out that you don't check in with the airline, you check-in for that specific flight. Just because you're in the right line for the airline doesn't mean you're in the right line. I had to walk over to the other side and wait in line again. Luckily security was fairly well streamlined and finding the gate was pretty easy. Though, since the WiFi doesn't work, I had no idea that the flight was delayed 15 minutes. It didn't say on any of the signs and they didn't announce it.",Positive,Negative
Lyon,airport,Gustavo Sirna Barbosa,2024-02-20,"It is unbelievable how French authorities at Lyon airport seem to have fun by creating difficulties and causing passengers to waste time at passport control. It makes absolutely no sense leaving e-gates unavailable, even for EU passport holders, asking all passengers to queue and wait quite long time because there are only 3 or 4 officers available.",Neutral,Positive
Fort-de-France,airport,8 reviewsMarco Palzkill,2020-02-19,"Fort de France Airport is small, but heavily decorated. There are very few amenities at the airport. We found the restrooms to be surprisingly clean! Sometimes flights seem to change gates without electronic gate screens reflecting that, so better ask staff wether the gate is correct. A lot of seating was provided for such a small airport.",Positive,Negative
Macau,airport,N Saibot,2018-06-29,"I had high expectations for Macau Airport, none of which were met and Macau has neglected to bring an int'l standard of quality to its airport. Poorly lit corners abound in what amounts to three levels of cramped mediocrity. In the whole terminal is a lonely 7-11 down the hall. There's the obligatory McD's upstairs for finer dining, but not much else. Seeing the jacked up prices in these places turned me off from them. An unforgiveable oversight is the lack of standardized mobile device charging. Fully expecting to plug my phone into a USB port, I still can't fathom what the airport admin was thinking by installing very non-standard 3-prong charging ports, what they dubbed as 'wireless charging'. To use these, you're forced to buy the local solution in the form of an adapter. No worries, for the 7-11 has 'em for $100 MOP.  Kudos for removing the use-anywhere, conveniently 'universal' of the USB. That took a special effort. The personnel at MA could also use some rewiring. Most obvious, the airport overstaffed its confines with too much security. Here, there & everywhere you'll meet the Blueshirts who, you can bet, have an eye on you.  I interacted with a warden-esque washroom attendant who let me know my time was up by rapping the stall door & barking admonitions. On the way out I fingered him to take the matter to admin for further assessment.  Macau Airport is not merely a scaled down version of its counterpart across the pond. More than that, it's a featureless, frustrating area where you'll be in a hurry to not just catch your flight but to escape the pains of being in the place.",Negative,Positive
Macau,airport,W Jackson,2017-02-24,"I arrived at Macau from Beijing on the way to Vietnam (layover of 6 hours). I found the staff who were waiting by the luggage were unable to understand me and so finding out whether I would have to collect my luggage or not became a huge issue. I then went to the currency exchange who were not rude, but extremely utilitarian and peeved that I did not wish to change a larger quantity of money. Exiting the airport throws you out onto a road where roadworks are being undertaken making it difficult for you to walk. On returning to take my onward flight, there was no order as to where I (or anyone else) should go to queue to check-in and no-one understood enough English to explain. The guy blocking my entrance to the customs area made an enormous issue out of me not having a slip of paper (that I did not need!) and held me up for ages. The teenagers who were undertaking the customs search and bag check were extremely rude, the x-ray area was very busy with people grabbing, pushing and snatching their items from the outlet of the x-ray. I refused to leave my personal effects (where literally all my money / phone / passport) was all piled into the same plastic box in order to walk several metres away out of sight of my bag in order to be searched. The agent shouted at me several times to go over to be searched and I refused repeatedly (I'm not normally pushy, but gut feeling was all wrong here), he continued to shout and point ""camera, camera, camera"" until eventually he snatched my bag and dumped it on the floor by the area I was to be searched in and then snarled at me ""Happy now! You happy now?"" I politely replied that I was happy now and he shouted / pointed / talked with the rest of his colleagues who basically kept their heads down, not even looking at him. Drinks and food were expensive in Pacific Coffee and the staff at the Information Desk unhelpful when asked about my delayed flight - they didn't seem to know which gate it had been altered to board at or when. From there Macau Airport was less eventful apart from someone disconnecting my nearly finished charging bank to connect his mobile phone to it (the charging bank). If I hadn't been stood directly behind him at the the time, I believe he would have stolen it. My flight was also delayed but I'm guessing that's nothing to do with the airport.",Negative,Positive
Macau,airport,A Lemon,2016-10-26,Not sure if this is one of the busiest times of the year but there was quite a line thru security check. Mortified that they asked me to actually drop my passport on the tray to go under the scanner. T'was still fine until I was waiting to get my things from the belt when I was ushered away to do a body check. Understood it might've been because I was wearing a jacket but it took too long that I was afraid for my handbag and passport left on the tray while a lot of people have already passed through the security check. Good thing my mom recognized my things and grabbed it. But it was frustrating and left me feeling annoyed until my flight arrived.,Positive,Negative
Madrid Barajas,airport,N Deane,2024-04-15,"Security were extremely unpleasant and it appears that they are employing those behaving inappropriately on security. Avoid a rude lady in the VIP security lane of T1 if you don't want to be examined over and above that necessary for the understandable purposes of security. If you try and complain you are directed to information whose computer is ""down"".",Positive,Negative
Mahon,airport,M James,2017-10-16,"On going through security at Mahon airport we were met with security staff who could clearly see we were traveling with a young baby. Never encountered this type of bad attitude before, no respect, rude and complete lack of care. There is no need for this attitude.",Positive,Negative
Mahon,airport,Wendy Juggins,2005-10-08,Due to the major construction work going on at Mahon we flew out on 20th September 2005 and were extremely disappointed that the international departure lounge was shut. No duty free no retail therapy nothing. We were told that they did open it on a Saturday when all the flights came in and out but not during the week. We flew out from the internal lounge which has nothing in it at all! My advise if you are travelling mid week is to get all your duty free goods from the resorts.,Positive,Negative
Malabo,airport,Dave Stanley,2014-09-22,Arrival was not too painful. The queues for immigration were not too long. The longest queue was for the lady with a digital thermometer who was doing the Ebola check. Bags arrived fairly quickly. I needed a taxi which was not readily available. I had to ask on of the locals to show me where to go which meant leaving the airport and finding a car on the road outside. Departure was also not too much hassle. There is very little in the way of facilities so do not arrive too early. The business room is just a room with some comfortable seats. Someone did come round who offered drinks and some basic snacks.,Positive,Negative
Malaga,airport,B Mills,2024-06-17,Absolute disorganised nightmare which spoilt the overall holiday. Queue for passport control on departure over a kilometre leading to flight being delayed. I will never go back to this airport. Absolute no respect for travellers treated like cattle. Gatwick baggage on carousel for their flight landed after us so our bags couldn’t be loaded while they were still in passport control. Waited one and half hours for baggage handlers to figure this out and the squeezed in Cardiff baggage a few at a time crushing Gatwick baggage. Do not use this airport.,Negative,Positive
Malaga,airport,Sarah Grimshaw,2023-10-09,It seems several flights have arrived at once and immigration is not geared up to deal with so many passengers even though Malaga is now the 4th largest airport in Spain. So far we’ve waited 45mins and it’s still a long way to go. No information provided over the speakers and no staff to explain why the delay.,Negative,Positive
Malaga,airport,Eileen Quinn,2023-10-07,"Today, I was dropped off at 08:25 for my 10:55 flight to Glasgow. To check our bag in we waited in a queue for 1 hour. We waited about 20 mins for security and then 1 hour for passport control. It was absolutely chaotic and airport staff just shrugged their shoulders. People were running everywhere fearing they would miss their. Something has to change in this airport.",Negative,Positive
Malaga,airport,John Meiklejohn,2023-05-14,Excessive queues - 1.5 hrs to get through passport control.,Neutral,Negative
Male,airport,1 reviewsL Bourdan,2022-04-18,"Upon entering Male the customs agent was quite professional.  Carts were easy to acquire as our luggage arrived fast and in poor condition (possibly due to GOFirst). One airport employee impeding our path to the exit was eagerly ready to stop us and ask ridiculous questions as if he was the actual customs agent. Annoyed that we were the only tourists stopped, we impatiently waited for his ego to be satisfied so that we could meet our arrival team and proceed with our holiday. While awaiting our boat we noticed how unbearably hot the airport felt and how few shopping/dining options there were. We tried to seek service at the local bank where we were met by a rude employee. Fortunately the duty free shop kept me busy. Upon departure we were fortunate to have a hotel escort. Onsite covid testing was quick and painless. Despite holding both a valid visa and boarding pass in my possession an agent appeared requesting to see each document that was painstakingly loaded into the online system for web check in. This agent then proceeded to photograph our passports.  After listening to his excuses for almost 10 min in this insufferably hot airport the man instructed the check in agent to continue checking our luggage. Mind you this airport is the size of a shoebox. It cannot be this hard to manage people and processes. The island is beautiful but this inappropriate behavior is no boost for tourism. I would not recommend this island for the stress of entry and exit (despite how much you plan to invest in your holiday).",Negative,Positive
Male,airport,Andreas Dubiella,2021-08-03,"Horrendous lines for the first bag check and temperature check before you enter the terminal, need around 30 minutes. Absolutely chaotic boarding, no seating, no separate lines for Business Class, no covid19 distancing at all. The boarding by busses needs 1.5 hours because they simply don't have enough busses if 5 aircraft's depart at the same time. Around every 15 minutes came one bus per Gate which only be load a maximum of 40 people due to covid19 restrictions. Holiday in Paradise but departure Airport is Hell.",Negative,Positive
Male,airport,15 reviewsMichael Papalamprou,2017-11-22,"Second visit to Male airport in 7 years and this airport goes from bad to worse. Arrival was reasonable, even though we had to disembark the plane and walk around in airside with no guidance which terminal door to use to get into the airport. Then the bags get x-rayed on arrival, more queues there. No air conditioning and wifi requests your phone number and email address. Regardless, that was reasonably okay. Departure was ridiculous - you have to go through security twice, first queue was 30 min, then check in queue 20 mins, then another security queue 30 mins, then you reach the ""duty free"" that are more expensive than the hotels. The only cafe in the departure lounge had one guy at the cashier and one guy making coffees, and they also provide table service with that staff. Then you go to the gate and there is no seating, because all departure gates are in a single large room. Wifi requests your phone number, email address, and after capturing that, doesn't work. Disgrace.",Negative,Positive
Male,airport,Ralph Hsieh,2017-06-06,"Male is a small but reasonably clean airport. You won't be able to find any interesting things to do here. It is fine to be a small airport, but the service of some airport employees is terrible. They were extremely rude and asked us to move our luggage outdoors only a few minutes after we finished our meals and are still waiting for our flight. Also, when I used the U.S. dollar bills that I received from an island resort, they asked me if I have a U.S. dollar bills in brand new condition and refuse to take the older bills. After I asked why, they reluctantly took the bills.",Negative,Positive
Malmo,airport,V Alin,2024-04-24,"The most unfriendly staff. They did not allow us to pass through security with more than one bag for liquids which is stupid. Had to throw away some of the liquids from our hand luggage, no explanation nothing. In 24th of April the still check IDs for Schengen flights as well.",Negative,Positive
Malmo,airport,Diana Brudasca,2023-07-30,"No service at all, what is on the information screen does not match reality at all. Don't understand what the staff is up to. Shouldn't they inform travelers about flight times? Thanks for missing the flight, it doesn't matter if you're already there in good time. No one cares to help/inform you.Ingen service över huvudtaget, det som står på information skärmen stämmer inte alls med verkligheten. Förstår inte vad personalen har för sig. Ska de inte informera resenärer angående flygtider? Tack för missat flyg, spelar ingen roll om man är redan där i god tid. Ingen bryr sig om att hjälpa/informera dig.",Negative,Positive
Malmo,airport,Cornelia Falenius,2023-06-10,"We where traveling mid day, and wanted to get a small lunch before boarding. The only two cafes were closed, and in the only place to get food was at the tiny kiosk. They had hot dogs, but that’s it. They are supposed to sell vegetarian options as well but they had nothing. We had to resort to a bag of chips and a bottle of water.",Positive,Negative
Malmo,airport,Diana Cristina Binciu,2019-04-01,"Very bad experience at security. I am a very careful traveler and even though my bottle had 60ml written on it and it fit the special bag, security decided that they will not allow it. In my opinion this is not going by the rules. I do not recommend this airport.",Positive,Negative
Malmo,airport,S Marius,2016-11-09,"Well, I have only one reason for complaining, except the most obvious one, that the Malmo airport is actually Sturup and is not close to Malmo as one might think. The issue that bothered me was the fact that even though I had checked in before coming to the airport, I was denied entrance in the airport based on the ground that I had to pass Wizzair desk for confirmation. I had no cargo luggage, I had my ticket with me and the idea of going to a queue for no reason whatsoever was mind blowing. So I went to the desk, the lady wrote something with her pen on my ticket, then I came back and the lady that denied me in the first place made an ok sign with a marker and then I got to security check. It seemed like a stupid, unnecessary check since there was nothing to check in the first place. So there you have it, beaurocracy at its best.",Negative,Positive
Malta,airport,1 reviewsJoann Davies,2024-10-18,"Malta airport was busy during October 2024-however I have to warn anyone who thinks that despite landing on time they will be on time to meet up at the other end. The Passport people are beyond rude, and blatantly taking their time. In a 25 minute queue! just to look at my passport, and despite some kind of high tech looking machine right next to the box office where the man is inside, he looked as if someone had seriously offended him, and took each passport, riffling through the whole book, only to them ask a series of questions to nearly everyone in the queue including old ladies. He then proceeded to slowly and reluctantly stamp the passport. The whole queue was chatting about it after a while as we had all noticed by then. The rest of the staff were also slow but not half as bad as this one individual who clearly wanted no one to enter! This individual made us late for our transfer pick up, and really took his time. He was inefficient and clearly had a problem with everyone in the queue.",Positive,Negative
Malta,airport,Dc Maltese local,2021-10-06,Absolutely shameful. No water stations after security. They have large advertisements for reducing plastic but when you bring your own bottle there is nowhere to refill because they intentionally disabled them (only place anywhere I know that has done this). You are forced to pay for overpriced plastic water bottles. I asked for a refill at one of the bars for water but they refused. Had to pay. This airport doesn't even stand true to its advertisements which promote themselves as being green. Please take note of this complaint and notice the hypocrisy.,Negative,Positive
Managua,airport,A Franca,2012-05-10,I was very surprised to see how this airport works everything is clean and well kept but as people said here there's lack of technology no departure boards or wifi available immigration is a breeze come with changed money because you need to purchase a tourist card on arrival taxis will demand from 20 to 30 usd 10 usd is the market price.,Negative,Positive
Manaus,airport,H King,2019-08-18,"Other reviews are clearly outdated, so don't put much stock in them. My arrival was around midnight, and was fine - incoming passengers were separated into Brazil nationals and all others, and as a non-Brazilian I was quickly processed. I found it odd that passengers exiting the terminal were forced to go through the duty-free shop, but this may have been a result of the late hour. The departure was fine also, scheduled for 1 am. It was confusing to check bags because only some of the check-in counters are visible when entering the terminal - others are in a second row behind the first. My carrier opened their counter 3 hours before the flight and security opened about 2 hours beforehand, so I had a few hours before checking in. There weren't an abundance of seats, but few people were inconvenienced. I didn't see any lockers to store baggage. Even at this late hour (9-11 p.m.), several shops were open (like a news stand, a snack bar, a chocolate shop, and a cosmetics shop). Beyond security there was only one small news stand (with a few snacks and water), but it was also open. There was abundant seating here. All in all, this airport is just fine.",Positive,Negative
Manaus,airport,G Chinn,2011-01-25,A dreadful place. The only airport I have visited where the check-in desks are in a controlled area to which access is restricted until around 90 minutes prior to (domestic) flight departure. This setup means that if you have a few hours to kill you are saddled with your luggage and unable to make the most of the (overpriced) shops and facilities on offer. Internet cafe must be in the running for worlds most expensive at US$15 per hour. Its slightly more reasonable once through security (but see above - you will not have much time to use it). For reasons unknown the entire area beyond security control smelled of vomit. A taxi for the fast 7 mile/12km journey to town costs an extortionate US$30+. As a point of principle you can avoid this by turning right outside the terminal and walking 100m to the bus stop where services are quite regular and a much more reasonable US$1.50.,Negative,Positive
Manaus,airport,S Koenig,2009-11-05,Had to change planes here on our way from Fortaleza to Miami. Looks like an older airport with added security equipment for international flights thrown in at random. When we left our first flight we had to exit the secure area find our way to the new departure area and then go through security again (there was a total lack of signage or personnel letting people just making connections know that they did not have to stand in the longest line with others just starting their trip there). Waiting area rather confined with a couple of small shops and one concessionaire selling a very limited selection of food and drinks. I would hate to have to spend several hours in this airport which is getting increased numbers of international flights.,Positive,Negative
Manchester,airport,M Devlin,2025-02-21,"I know terminal due for closure but do it now. Whole departure experience appalling. Easyjet now confined to the basement. Scanner rejected both carryon and no reason. The exit doors for security closed and no one around to alert to the issue. Most of duty free was closing up at 6pm, departure gate, again in the basement with a flight delay.",Negative,Positive
Manchester,airport,Andrew Wilkinson,2024-10-21,"Early flight with Easyjet from Belfast to Manchester. Smooth experience - then Fast Track through Manchester to Geneva. Quite the worst experience we have had in years. Five ""footmark"" spaces at security with only one allowed to be used. Officious, unpleasant staff, who actually reorganised every single tray before letting them go through the scanner. They used SIX trays for my wife's hand luggage and FOUR for mine! Bearing in mind that we had just travelled from Belfast with two trays each being used, laptops etc. this was unbelievable. I was told by the agent that I had breached security because I reached across the rollers to get a tray. Then the luggage was pulled for inspection. At this stage many people were complaining. I asked, politely, to speak to the manager, who, when he approached me told me to ""Stand back""! He was quite the most ineffective manager I have ever encountered - many staff standing around doing absolutely nothing with no supervision. Then my cabin bag had to be emptied and the lining unzipped because the scanner had detected something - the handle of the case - an £800 Montblanc which I have travelled with weekly for the last 2 years! By this time the manager had scampered off somewhere, ignoring the chaos. All lounges full, food offering poor elsewhere. Unfortunately not a forgettable experience but one which, thankfully, I will be able to avoid in the future. All in all a shameful offering.",Negative,Positive
Mangalore,airport,K Param,2008-02-21,Very small airport with very limited facilities. I am amazed that this is an international airport. If you are stuck in this airport for a few hours there is nothing to do!!. However check in and security a breeze and seems very organised.,Positive,Negative
Manila,airport,2 reviewsReynaldo Cruz,2025-01-28,I have never experience such chaotic and overcrowding lines to Terminal 1 check-in counters of PAL. Four lines waiting for our turn to have our luggage x-rayed by One machine. Average wait is about 2 1/2 hours. Then another average 2+ hours in line to check-in luggage. And all this waiting is just to check-in on one airline PAL. Even at LAX Tom Bradley terminal with more Passengers coming and going is never this chaotic.,Negative,Positive
Maputo,airport,Barry Byrne,2009-10-12,One nice feature of Maputo Airport is that it has one of the few remaining exterior viewing terraces so you can stand outside and take in arrivals and departures. A worse airport on arrival than on departure with the slow waiting around for visas on arrival be sure to have exact change if you can and the relatively slow delivery of baggage which may or may not have items missing or delayed if your transit was via JNB.,Positive,Negative
Maracaibo La Chinita,airport,Jairo Lugo,2007-04-23,I am not sure when you went to the airport in maracaibo but things have change a lot. Prices are not as bad and there is lots of choices to eat and drink very reasonable.,Positive,Negative
Marrakech,airport,Anna Czarnecka,2025-01-31,"The Cleaning ladies in all toilets at the airport remove the toilet paper from the cabins and if you ask for paper, they ask for a charge! I think its really mean and it should not be like this! Toilet paper should be provided for free.",Positive,Negative
Marrakech,airport,J Kle,2024-12-28,"The airport building itself and the internal infrastructure are good, but the entire process that passengers go through upon arrival or departure is incredibly inefficient. All the queues move very slowly, and it feels like passengers are deliberately made to wait unnecessarily. Every step is unnecessarily repeated: first, your passport and visa are checked when issuing the boarding pass; then there’s a massive queue at passport control. After they stamp your passport, you immediately face yet another queue to check whether you got the stamp. Staff members who are supposed to simply verify your booking number and issue a boarding pass, or customs officers, work incredibly slowly. In every case, they take a long time discussing something with their colleagues—when there’s clearly nothing to discuss—or they spend an absurd amount of time examining every document, double- and triple-checking them as if they’re solving world-scale problems. Plan to spend at least an hour and a half going through all the queues before departure and at least an hour upon arrival.",Positive,Negative
Marrakech,airport,Lukas Kalal,2024-11-08,"I visited your beautiful country with friends in mid-October and I really enjoyed my stay. I would love to return but the big negative was the experience at your airport in Marrakech. It started already on arrival. Upon arrival we were greeted by an incredible line at passport control. We joined your queue system and waited there for 1.75 hours! After an hour, when your staff started to see the panic of some passengers, they started to guide the new arrivals through the Fast track, which legitimately annoyed everyone who was only halfway through their waiting experience. It should be added that we were so called head to head in the queue, after an hour you get thirsty or wish to use the toilet, but somehow this is not possible. All the excitement of reaching our destination was gone. Moreover, when I got within sight of your officials after an hour and 40 minutes, I understood why everything takes so long. The two officials who were ahead of me had other priorities than checking in tourists quickly. One was chatting and the other was even talking on the phone to someone else while checking in tourists (from the nature of his cheerful speech, I gather he was not talking to his supervisor). This is the ultimate in unprofessionalism. Our departure 6 days later was the same, just split into 4 queues. We arrived at the airport 2.5 hours early. First we stood in the baggage drop line, where it was very difficult to get information on how to handle passengers who don't put their luggage in Cargo. Why did they have to stand in the baggage drop queue in the end, believe me it is very misleading. After dropping off the luggage and getting the much needed stamp, we were faced with another long queue in the area before entering the security check area. Here we reached the first gate after half an hour. Beyond the first gate was another long queue for the security check. Your very sharp security staff herded us like a herd of animals into a queue that had no space, i.e. people were crowding each other and panic ensued. I cannot imagine how mothers with children feel in this queue. After about 1.5 hours we went through security and were again faced with an incredibly long line for passport control. By that time most of the people were overstaying their boarding time, i.e. there was a panic when half of the people who came to the passport control hall demanded some faster check-in (some fast track). I understand them. Your staff just stood by and watched, or occasionally let someone get halfway through the line. So there were people who stood in line and a few lucky ones who were able to beat half the line. We got to the plane at the last minute. If it hadn't been late, it would have been gone by now. Your airport has three major problems. It is not at all equipped to handle the number of people you are handling (capacity of arrival and departure officials), it is very poorly organized, and your staff is completely ignorant of the situations that arise.",Negative,Positive
